base,grade,section,count,probability
ch,bare,balneo,271,0.2828810020876827
ch,bare,cosmo/zodiac,202,0.2454434993924666
ch,bare,herbal-A,861,0.3339798293250582
ch,bare,pharm-herbal,134,0.17447916666666666
ch,bare,rosettes,89,0.3272058823529412
ch,bare,stars,544,0.24897025171624715
ch,e,balneo,597,0.6231732776617954
ch,e,cosmo/zodiac,247,0.3001215066828676
ch,e,herbal-A,458,0.17765709852598913
ch,e,pharm-herbal,163,0.21223958333333334
ch,e,rosettes,110,0.40441176470588236
ch,e,stars,1031,0.47185354691075515
ch,eo,balneo,59,0.061586638830897704
ch,eo,cosmo/zodiac,125,0.15188335358444716
ch,eo,herbal-A,147,0.05702094647013189
ch,eo,pharm-herbal,189,0.24609375
ch,eo,rosettes,20,0.07352941176470588
ch,eo,stars,282,0.12906178489702516
ch,o,balneo,31,0.032359081419624215
ch,o,cosmo/zodiac,249,0.3025516403402187
ch,o,herbal-A,1112,0.4313421256788208
ch,o,pharm-herbal,282,0.3671875
ch,o,rosettes,53,0.1948529411764706
ch,o,stars,328,0.15011441647597254
ok,bare,balneo,171,0.5213414634146342
ok,bare,cosmo/zodiac,147,0.33638443935926776
ok,bare,herbal-A,218,0.5633074935400517
ok,bare,pharm-herbal,70,0.2564102564102564
ok,bare,rosettes,31,0.6739130434782609
ok,bare,stars,318,0.47181008902077154
ok,e,balneo,136,0.4146341463414634
ok,e,cosmo/zodiac,150,0.34324942791762014
ok,e,herbal-A,84,0.21705426356589147
ok,e,pharm-herbal,79,0.2893772893772894
ok,e,rosettes,11,0.2391304347826087
ok,e,stars,310,0.4599406528189911
ok,eo,balneo,5,0.01524390243902439
ok,eo,cosmo/zodiac,80,0.18306636155606407
ok,eo,herbal-A,30,0.07751937984496124
ok,eo,pharm-herbal,64,0.23443223443223443
ok,eo,rosettes,2,0.043478260869565216
ok,eo,stars,27,0.040059347181008904
ok,o,balneo,16,0.04878048780487805
ok,o,cosmo/zodiac,60,0.13729977116704806
ok,o,herbal-A,55,0.1421188630490956
ok,o,pharm-herbal,60,0.21978021978021978
ok,o,rosettes,2,0.043478260869565216
ok,o,stars,19,0.028189910979228485
ot,bare,balneo,126,0.4548736462093863
ot,bare,cosmo/zodiac,160,0.3252032520325203
ot,bare,herbal-A,142,0.5278810408921933
ot,bare,pharm-herbal,52,0.38235294117647056
ot,bare,rosettes,68,0.5151515151515151
ot,bare,stars,360,0.4972375690607735
ot,bare,unknown,1,1.0
ot,e,balneo,123,0.44404332129963897
ot,e,cosmo/zodiac,153,0.31097560975609756
ot,e,herbal-A,41,0.1524163568773234
ot,e,pharm-herbal,26,0.19117647058823528
ot,e,rosettes,42,0.3181818181818182
ot,e,stars,291,0.40193370165745856
ot,eo,balneo,4,0.01444043321299639
ot,eo,cosmo/zodiac,111,0.22560975609756098
ot,eo,herbal-A,23,0.08550185873605948
ot,eo,pharm-herbal,22,0.16176470588235295
ot,eo,rosettes,3,0.022727272727272728
ot,eo,stars,36,0.049723756906077346
ot,o,balneo,24,0.08664259927797834
ot,o,cosmo/zodiac,68,0.13821138211382114
ot,o,herbal-A,63,0.2342007434944238
ot,o,pharm-herbal,36,0.2647058823529412
ot,o,rosettes,19,0.14393939393939395
ot,o,stars,37,0.05110497237569061
qok,bare,balneo,511,0.49324324324324326
qok,bare,cosmo/zodiac,78,0.5492957746478874
qok,bare,herbal-A,108,0.4
qok,bare,pharm-herbal,50,0.2127659574468085
qok,bare,rosettes,60,0.6521739130434783
qok,bare,stars,393,0.3957703927492447
qok,e,balneo,484,0.4671814671814672
qok,e,cosmo/zodiac,35,0.24647887323943662
qok,e,herbal-A,91,0.337037037037037
qok,e,pharm-herbal,70,0.2978723404255319
qok,e,rosettes,23,0.25
qok,e,stars,533,0.5367573011077543
qok,eo,balneo,8,0.007722007722007722
qok,eo,cosmo/zodiac,16,0.11267605633802817
qok,eo,herbal-A,12,0.044444444444444446
qok,eo,pharm-herbal,71,0.3021276595744681
qok,eo,rosettes,4,0.043478260869565216
qok,eo,stars,32,0.032225579053373615
qok,o,balneo,33,0.03185328185328185
qok,o,cosmo/zodiac,13,0.09154929577464789
qok,o,herbal-A,59,0.21851851851851853
qok,o,pharm-herbal,44,0.18723404255319148
qok,o,rosettes,5,0.05434782608695652
qok,o,stars,35,0.035246727089627394
qot,bare,balneo,121,0.4879032258064516
qot,bare,cosmo/zodiac,22,0.5641025641025641
qot,bare,herbal-A,67,0.41358024691358025
qot,bare,pharm-herbal,10,0.2702702702702703
qot,bare,rosettes,34,0.5964912280701754
qot,bare,stars,167,0.49262536873156343
qot,e,balneo,116,0.46774193548387094
qot,e,cosmo/zodiac,12,0.3076923076923077
qot,e,herbal-A,33,0.2037037037037037
qot,e,pharm-herbal,8,0.21621621621621623
qot,e,rosettes,14,0.24561403508771928
qot,e,stars,125,0.3687315634218289
qot,eo,balneo,1,0.004032258064516129
qot,eo,cosmo/zodiac,2,0.05128205128205128
qot,eo,herbal-A,4,0.024691358024691357
qot,eo,pharm-herbal,10,0.2702702702702703
qot,eo,rosettes,3,0.05263157894736842
qot,eo,stars,18,0.05309734513274336
qot,o,balneo,10,0.04032258064516129
qot,o,cosmo/zodiac,3,0.07692307692307693
qot,o,herbal-A,58,0.35802469135802467
qot,o,pharm-herbal,9,0.24324324324324326
qot,o,rosettes,6,0.10526315789473684
qot,o,stars,29,0.0855457227138643
