num,arabic_name,english_name,latin_binomial,header_full,is_hot,is_cold,is_wet,is_dry,degree,temperament_text,nature_text,actions_text,sections_present
7,Astringent and 8. Greasy.,,,Astringent and 8. Greasy.,True,False,False,True,second degree,"It is hot and dry in second degree. Some people presume thatby its intrinsic heat, it reduces the heat of the blood. Actions and properties:When rubbed with water in the manner most stones are rubbed, it becomesattenuentand detergent. Ocular organs:Ebony acts as a detergent in cases where membrane covers the eye and opacity of the cornea. A suppository is made of its powder.Itis used as a whet stone topreparemedicines for the eyes since it is very suitable for this purpose. Its powder, whenburnt on a hot plate and then washed, is very useful in chronic ulcers of the eye andtrachoma. Excretory ","Ebony is wellknown. It is a wood of a treeobtained from zanj (Africa). According to Dioscordes it is obtained from I;Iabsha (Ethopia formerly Abyssinia).Itis jet-black, bas no layers, and when hand is passed over it, it gives tbe feeling as if the hand isbeing 39 ﺻﻔﺤﻪ / ﻛﺘﺎ / ﻧﻴﺎﻛﺎ ﭘﺰﺷﻜﻲ ﺗﺤﻘﻴﻖ ﻛﻼﺳﻬﺎ ﻫﻤﺪ ﻧﺸﮕﺎ ﻧﮕﻠﻴﴘ ﺗﺮﺟﻤﻪ ﻃﺐ ﻗﺎﻧﻮ ﺳﻨﺘﻲ ﻃﺐ ﻣﻮﳾ ﮔﺮ / ﺑﻬﺸﺘﻲ ﺷﻬﻴﺪ ﭘﺰﺷﻜﻲ ﻋﻠﻮ ﻧﺸﮕﺎ  passed over a perfect hern","Itis very strong for eradicating the yellow bile. Swellings andpimples: When applied as plaster by virtue of its property, it is highly useful for severe inflammation. Alimentary organs: Itstrengthens the stomach and liver and quenches the thirst. Excretoryorgans: Itcausesconstipation,is helpful in abrasions (and) when administred orally it checks the chronic flow of fluids from the uterus.Itis sa",Choice|Cosmetics|Fevers|Joints|Nature|Poisons|Properties|Substitute|Temperament
2,,Biibimaj Chamomile,Matricaria chamomilla Linn,Biibimaj Chamomile Matricaria chamomilla Linn,True,True,False,True,first degree,"It is hot and dry in the first degree. Actions and properties:Itisdeohstruentand rarefying of thick humours. It is relaxant and mild dissolvent but is not absorbent. This is its main characteristic. Swellings andpimples: It soothes the hotswellingsby producing relaxation and dissolution and softens theswellingsprovided it is not severe. It is administered internally in cases of severeswellingsof the viscera. Joints organs:Itreduces tension, strengthens the muscles and is the most useful drug for removing fatigue since its heat is similar to that of animal heat. Organs ofthe head:Itis a tonic f","Biibilnajis well-known. It is a herb having flowers of different colours such as yellow, white and purple. The leaves and flowersare preserved and converted into tablets. The root is dried up and stored. According to Galen, chamomile is nearer to the rose in tenuity but is hot, though mild like the olive. It is a soft herb and grows in rough places and near the pathways. It isprocuredin spring sea",,Fevers|Nature|Temperament
3,,Biidranjbiiyah,,Biidranjbiiyah,False,False,False,True,second degree,Cultivated balm is hotand dry in the second degree.,,Itis useful in all kinds of phlegmatic and atrabiliary diseases.,Chest|Cosmetics|Food|Head|Properties|Temperament|Ulcers
4,Biidhiil1'ard White acanthus Centurea phylloce phalla,,,Biidhiil1'ard White acanthus Centurea phylloce phalla,True,True,False,False,,"Its roots are cooling, desiccant and somewhat dissolvent. The seeds are mildly hot. According to some physicians, biidhiiward,as a whole, is hot. Actionsand properties:Bddhiiward.especially its seeds are dissol­ vent,deobstruent,moderately astringent and styptic. Swellings andpimples:Being dissolvent and astringent, it is useful in phlegmaticswellings.Hence the drug, especially the seeds, are used in plasters. Joints organs:Itis useful in convulsions because it is moder­ ately astringent and dissolvent. The seeds are beneficial for children suffering from disorder in the movement of their muse",al-shaukatal-bail/ii'is another name of this drug.It resembles the caltrops but is relatively white in colour and having larger spikes. The leaves resemble those ofbamiimii(amomum) but are whiter and thinnerthan those of bamiimii. The stem is 2 arms (about 3 feet) high. The Bowers are purple and the fruit resembles thecarthum seed but is moreround than that of carthum seed.,,Fevers|Nature|Poisons|Temperament
5,Biidhriij Sweet basil,,Ocimum basilicum Linn,Biidhriij Sweet basil Ocimum basilicum Linn,True,True,False,True,second degree,"It is hot from first to second degree and dry in the beginning, of the first degree with superfluousmoistness which makes it cool upto the second degree. This property is, however,not found in it.",Hiik.is another name ofbiidhruj.It is a well-known drug. The oil ofmarzanjosh (sweet marjoram) may be a substitute for the oil ofBadhriijbut thelatteris weaker in potency and has also contradictory properties:,"It is astringent but is also purgative. It is constipative but at the same time enables the superfluous matter to be expelled through purgation. It is dissolvent,maturativeand flatulent. It gets putrefied soon. It expels the morbid and atrabiliary humours. The seeds check the formation of black bile.",Chest|Excretion|Eye|Head|Nature|Poisons|Properties|Swellings|Temperament
6,,Biidhinjiin Brinjal,Solanum melongena Linn,Biidhinjiin Brinjal Solanum melongena Linn,True,True,False,False,second degree,"Ibn Miisarjawaih holds brinjal to be of cold tem­ perament, but the fact isthatit is hot anddryin the second degree on account of its bitterness and pungency.",,It produces blackbile and obstructions.,Choice|Cosmetics|Excretion|Head|Properties|Swellings|Temperament
7,Biiqla Broad bean Vicia[abo Linn.,,,Biiqla Broad bean Vicia[abo Linn.,False,True,True,False,second degree,"It is somewhat moderate intemperament,but is mostly inclined towards coldness and dryness and the moist variety has some superfluous humidity. The correctapproachwould be to classify biiqlaas cold. However, those who declareitto be cold in the second degree exaggerate the matter.",,"It is a weak detergent and a strong flatulent. When cooked for long with repeated additon of water, unlike barleybroth, removes its flatulent property. Thispropertyis also reduced when biiqlais cooked peeled and lacerated well in thevesseland it is not stirred during cooking.Roasted baqla is less flatulent but slow to digest. When cooked with peel, it ishighly flatulent. Probably thethinner beans ",Chest|Choice|Cosmetics|Excretion|Eye|Food|Head|Joints|Properties|Swellings|Temperament|Ulcers
8,,Biin Persian Lilac,Melia azedarach Linn.,Biin Persian Lilac Melia azedarach Linn.,True,False,False,True,second degree,"Itis hot inthirdand dry in second degree. Actions andproperties:The fruit, especially its pulp, is a cleansing agent for the viscid humours and it removes theobstructionsof the viscera when used after mixing it with vinegar and water. The oil cake (ofban) is bitter and somewhatastringentbecause of its caustic property. The peel is more astringent, The oil is also not free from astringency. All of them have detergent and erosive potency.","The fruit ofbiinis largerthan chick pea, whitish, soft and oily.",,Cosmetics|Nature|Temperament
9,,Bardt Papyrus Papyrusantiquorum,,Bardt Papyrus Papyrusantiquorum,False,True,False,True,,Itis cold and dry in temperament.,,Bardtor its ashes stops bleeding.,Chest|Cosmetics|Excretion|Eyes|Head|Poisons|Properties|Swellings|Temperament|Ulcers
11,Bartiiniq:,,,Bartiiniq:,False,False,False,False,,,"Itis reportedthatbartiintqtis the same asbustiin afroz, Its leaves are like those ofhummiiz al-Barrt(bladderdock) but these are relative better and slightly black.",The leaves are constipating.,Nature|Properties|Ulcers
