num,arabic_name,english_name,latin_binomial,header_full,is_hot,is_cold,is_wet,is_dry,degree,temperament_text,nature_text,sections_present
7,,,Astringent and,Astringent and 8. Greasy.,True,False,False,True,second degree,"It is hot and dry in second degree. Some people presume that by its intrinsic heat, it reduces the heat of the blood. Actions and properties: When rubbed with water in the manner most stones are rubbed, it becomes attenuent and detergent. Ocular organs: Ebony acts as a detergent in cases where membrane covers the eye and opacity of the cornea. A suppository is made of","Ebony is wellknown. It is a wood of a tree obtained from zanj (Africa). According to Dioscordes it is obtained from I;Iabsha (Ethopia formerly Abyssinia). It is jet-black, bas no layers, and when hand is passed over it, it givestbe feeling as if the hand isbeing",Cosmetics|Substitute|Fevers|Properties|Choice|Joints|Temperament|Nature|Poisons
2,Biibimaj Chamomile,,Matricaria chamomilla Linn,Biibimaj Chamomile Matricaria chamomilla Linn,True,False,False,True,first degree,It is hot and dry in the first degree. Actions and properties: It is deohstruent and rarefying of thick humours. It is relaxant and mild dissolvent but is not absorbent. This is its main characteristic. Swellings and pimples: It soothes the hot swellings by producing relaxation and dissolution and softens the swellings provided it is not,"Biibilnaj is well-known. It is a herb having flowers of different colours such as yellow, white and purple. The leaves and flowers are preserved and converted into tablets. The root is dried up and stored. According to Galen, chamomile is nearer to the rose in",Fevers|Temperament|Nature
3,Biidranjbiiyah,,,Biidranjbiiyah,True,False,False,True,second degree,Cultivated balm is hot and dry in the second degree.,,Food|Chest|Cosmetics|Properties|Ulcers|Temperament|Head
4,Biidhiil1'ard,,White acanthus,Biidhiil1'ard White acanthus Centurea phylloce phalla,True,True,False,False,,"Its roots are cooling, desiccant and somewhat dissolvent. The seeds are mildly hot. According to some physicians, biidhiiward, as a whole, is hot. Actions and properties: Bddhiiward. especially its seeds are dissolvent, deobstruent, moderately astringent and styptic. Swellings and pimples: Being dissolvent and astringent, it is useful in phlegmatic swellings. Hence the drug, especially the seeds,",al-shaukat al-bail/ii' is another name of this drug. It resembles the caltrops but is relatively white in colour and having larger spikes. The leaves resemble those of bamiimii (amomum) but are whiter and thinner than those of bamiimii. The stem is 2,Fevers|Temperament|Nature|Poisons
5,Biidhriij,,Sweet basil,Biidhriij Sweet basil Ocimum basilicum Linn,True,True,False,True,second degree,"It is hot from first to second degree and dry in the beginning, of the first degree with superfluousmoistness which makes it cool upto the second degree. This property is, however, not found in it.",Hiik. is another name of biidhruj. It is a well-known drug. The oil of marzanjosh (sweet marjoram) may be a substitute for the oil of Badhriij but the latter is weaker in potency and has also contradictory properties:,Chest|Eye|Properties|Excretion|Temperament|Nature|Head|Swellings|Poisons
6,Biidhinjiin Brinjal,,Solanum melongena Linn,Biidhinjiin Brinjal Solanum melongena Linn,True,True,False,True,second degree,"Ibn Miisarjawaih holds brinjal to be of cold temperament, but the fact is that it is hot and dry in the second degree on account of its bitterness and pungency.",,Cosmetics|Excretion|Properties|Choice|Temperament|Head|Swellings
7,Biiqla,,Broad bean,Biiqla Broad bean Vicia [abo Linn.,False,True,True,False,second degree,"It is somewhat moderate in temperament, but is mostly inclined towards coldness and dryness and the moist variety has some superfluous humidity. The correct approach would be to classify biiqla as cold. However, those who declare it to be cold in the second degree exaggerate the matter.",,Food|Chest|Cosmetics|Eye|Properties|Excretion|Ulcers|Choice|Temperament|Joints|Head|Swellings
8,Biin Persian,Lilac,Melia azedarach Linn.,Biin Persian Lilac Melia azedarach Linn.,True,False,False,True,second degree,"It is hot in third and dry in second degree. Actions and properties: The fruit, especially its pulp, is a cleansing agent for the viscid humours and it removes the obstructions of the viscera when used after mixing it with vinegar and water. The oil cake (of ban) is bitter and somewhat astringent because of its caustic property. The peel is more astringent, The oil is also","The fruit of biin is larger than chick pea, whitish, soft and oily.",Temperament|Nature|Cosmetics
9,Bardt Papyrus,,Papyrus antiquorum,Bardt Papyrus Papyrus antiquorum,False,True,False,True,,It is cold and dry in temperament.,,Chest|Excretion|Properties|Ulcers|Temperament|Head
10,Barshiiiushiin,,Maiden hair,Barshiiiushiin Maiden hair Adiantus capillus-veneris Linn.,False,False,False,False,,According to Galen it is moderate in temperament but at times it slightly tends towards hotness and mostly it tends towards dryness.,,Cosmetics|Excretion|Properties|Ulcers|Temperament|Head|Swellings|Poisons
11,Bartiiniq:,,,Bartiiniq:,False,False,False,False,,,"It is reported that bartiintqt is the same as bustiin afroz, Its leaves are like those of hummiiz al-Barrt (bladder dock) but these are relative better and slightly black.",Ulcers|Properties|Nature
