section,from_comm,to_comm,count,probability
balneo,C0,C0,32,0.125
balneo,C0,C1,149,0.58203125
balneo,C0,C2,51,0.19921875
balneo,C0,C3,14,0.0546875
balneo,C0,C4,10,0.0390625
balneo,C1,C0,138,0.07293868921775898
balneo,C1,C1,1275,0.6738900634249472
balneo,C1,C2,287,0.15169133192389006
balneo,C1,C3,136,0.07188160676532769
balneo,C1,C4,56,0.02959830866807611
balneo,C2,C0,37,0.09113300492610837
balneo,C2,C1,213,0.5246305418719212
balneo,C2,C2,111,0.2733990147783251
balneo,C2,C3,26,0.06403940886699508
balneo,C2,C4,19,0.046798029556650245
balneo,C3,C0,11,0.06626506024096386
balneo,C3,C1,80,0.4819277108433735
balneo,C3,C2,40,0.24096385542168675
balneo,C3,C3,22,0.13253012048192772
balneo,C3,C4,13,0.0783132530120482
balneo,C4,C0,9,0.0743801652892562
balneo,C4,C1,81,0.6694214876033058
balneo,C4,C2,18,0.1487603305785124
balneo,C4,C3,2,0.01652892561983471
balneo,C4,C4,11,0.09090909090909091
cosmo/zodiac,C0,C0,202,0.37969924812030076
cosmo/zodiac,C0,C1,98,0.18421052631578946
cosmo/zodiac,C0,C2,102,0.19172932330827067
cosmo/zodiac,C0,C3,114,0.21428571428571427
cosmo/zodiac,C0,C4,16,0.03007518796992481
cosmo/zodiac,C1,C0,111,0.296
cosmo/zodiac,C1,C1,123,0.328
cosmo/zodiac,C1,C2,70,0.18666666666666668
cosmo/zodiac,C1,C3,63,0.168
cosmo/zodiac,C1,C4,8,0.021333333333333333
cosmo/zodiac,C2,C0,85,0.2777777777777778
cosmo/zodiac,C2,C1,67,0.21895424836601307
cosmo/zodiac,C2,C2,93,0.30392156862745096
cosmo/zodiac,C2,C3,53,0.17320261437908496
cosmo/zodiac,C2,C4,8,0.026143790849673203
cosmo/zodiac,C3,C0,107,0.2695214105793451
cosmo/zodiac,C3,C1,56,0.14105793450881612
cosmo/zodiac,C3,C2,74,0.18639798488664988
cosmo/zodiac,C3,C3,148,0.37279596977329976
cosmo/zodiac,C3,C4,12,0.030226700251889168
cosmo/zodiac,C4,C0,10,0.21739130434782608
cosmo/zodiac,C4,C1,10,0.21739130434782608
cosmo/zodiac,C4,C2,11,0.2391304347826087
cosmo/zodiac,C4,C3,13,0.2826086956521739
cosmo/zodiac,C4,C4,2,0.043478260869565216
herbal-A,C0,C0,1187,0.6458106637649619
herbal-A,C0,C1,180,0.09793253536452666
herbal-A,C0,C2,327,0.1779107725788901
herbal-A,C0,C3,72,0.03917301414581066
herbal-A,C0,C4,72,0.03917301414581066
herbal-A,C1,C0,170,0.31365313653136534
herbal-A,C1,C1,169,0.3118081180811808
herbal-A,C1,C2,134,0.24723247232472326
herbal-A,C1,C3,54,0.0996309963099631
herbal-A,C1,C4,15,0.027675276752767528
herbal-A,C2,C0,197,0.3486725663716814
herbal-A,C2,C1,99,0.1752212389380531
herbal-A,C2,C2,218,0.3858407079646018
herbal-A,C2,C3,37,0.06548672566371681
herbal-A,C2,C4,14,0.024778761061946902
herbal-A,C3,C0,72,0.375
herbal-A,C3,C1,42,0.21875
herbal-A,C3,C2,39,0.203125
herbal-A,C3,C3,33,0.171875
herbal-A,C3,C4,6,0.03125
herbal-A,C4,C0,69,0.5267175572519084
herbal-A,C4,C1,18,0.13740458015267176
herbal-A,C4,C2,24,0.183206106870229
herbal-A,C4,C3,10,0.07633587786259542
herbal-A,C4,C4,10,0.07633587786259542
pharm-herbal,C0,C0,389,0.5629522431259045
pharm-herbal,C0,C1,124,0.17945007235890015
pharm-herbal,C0,C2,73,0.10564399421128799
pharm-herbal,C0,C3,83,0.12011577424023155
pharm-herbal,C0,C4,22,0.03183791606367583
