folio,cthor,cthy,cthol,cthey,dominant_base,cthor_fam,cthy_fam,cthol_fam,cthey_fam,cth_other,dominant_family,total_cth_tokens
f10r,1,2,0,0,cthy,2,7,1,0,3,cthy_family,13
f10v,1,1,0,0,cthor,2,2,0,0,0,cthor_family,4
f11r,0,4,0,0,cthy,0,5,0,0,0,cthy_family,5
f11v,0,0,0,1,cthey,0,1,0,1,0,cthy_family,2
f13r,0,0,0,0,,0,0,0,0,0,,0
f13v,1,0,0,0,cthor,1,1,0,0,1,cth_other,3
f14r,0,0,0,0,,0,0,0,0,0,,0
f14v,1,2,0,0,cthy,1,3,1,0,0,cthy_family,5
f15r,0,3,0,0,cthy,0,4,0,0,1,cthy_family,5
f15v,2,4,0,0,cthy,2,4,1,0,1,cthy_family,8
f16r,0,1,0,0,cthy,0,3,0,0,0,cthy_family,3
f16v,2,0,0,0,cthor,3,4,0,0,0,cthy_family,7
f17r,0,1,0,0,cthy,0,2,0,0,1,cthy_family,3
f17v,2,2,2,0,cthol,2,3,3,1,1,cthol_family,10
f18r,0,2,2,0,cthol,1,3,2,0,4,cth_other,10
f18v,0,0,0,0,,0,0,0,0,0,,0
f19r,1,0,0,0,cthor,2,1,0,0,1,cthor_family,4
f19v,3,0,2,0,cthor,3,2,2,0,0,cthor_family,7
f1r,0,3,1,1,cthy,0,5,3,1,9,cth_other,18
f1v,0,0,0,0,,0,0,0,0,1,cth_other,1
f20r,0,0,0,1,cthey,0,2,0,1,0,cthy_family,3
f20v,0,2,0,0,cthy,0,6,0,0,1,cthy_family,7
f21r,1,2,0,1,cthy,1,4,0,3,2,cthy_family,10
f21v,0,1,0,0,cthy,0,1,0,0,1,cth_other,2
f22r,1,2,1,0,cthy,1,3,3,0,3,cthol_family,10
f22v,0,4,0,0,cthy,0,5,0,0,0,cthy_family,5
f23r,0,0,0,0,,0,0,0,0,0,,0
f23v,0,0,0,0,,0,0,0,0,0,,0
f24r,1,1,1,0,cthy,1,1,2,0,7,cth_other,11
f24v,0,0,0,0,,0,2,0,0,1,cthy_family,3
f25r,1,0,0,0,cthor,1,1,0,0,2,cth_other,4
f25v,1,0,0,0,cthor,1,0,0,0,0,cthor_family,1
f26r,0,0,0,0,,0,2,0,0,0,cthy_family,2
f26v,0,0,0,0,,0,0,0,0,0,,0
f27r,0,0,0,1,cthey,0,0,0,1,1,cth_other,2
f27v,0,0,0,0,,0,0,0,0,0,,0
f28r,0,0,4,0,cthol,0,1,5,0,0,cthol_family,6
f28v,1,0,0,0,cthor,1,0,0,0,0,cthor_family,1
f29r,1,0,0,0,cthor,1,3,0,0,0,cthy_family,4
f29v,0,3,0,0,cthy,0,4,1,0,1,cthy_family,6
f2r,1,0,0,0,cthor,1,1,0,0,0,cthor_family,2
f2v,0,0,0,0,,0,0,0,0,0,,0
f30r,0,0,0,0,,1,0,0,1,0,cthor_family,2
f30v,0,0,1,0,cthol,0,1,2,1,1,cthol_family,5
f31r,0,0,0,0,,0,2,0,1,0,cthy_family,3
f31v,0,0,0,0,,0,2,0,1,0,cthy_family,3
f32r,0,1,1,0,cthol,0,1,1,0,2,cth_other,4
f32v,0,0,1,0,cthol,0,2,1,0,2,cthy_family,5
f33r,0,0,0,0,,0,0,0,0,0,,0
f33v,0,0,0,0,,0,0,0,0,0,,0
f34r,0,0,0,0,,0,0,0,0,0,,0
f34v,0,0,0,0,,0,2,0,0,0,cthy_family,2
f35r,0,0,1,1,cthey,1,0,1,1,1,cthey_family,4
f35v,0,1,0,0,cthy,0,3,0,0,1,cthy_family,4
f36r,1,1,2,0,cthol,1,1,3,0,0,cthol_family,5
f36v,1,0,1,0,cthor,1,1,1,0,0,cthor_family,3
f37r,1,0,1,0,cthor,1,0,1,0,0,cthor_family,2
f37v,1,0,1,0,cthor,1,1,2,0,1,cthol_family,5
f38r,0,0,0,0,,0,0,0,0,0,,0
f38v,0,0,0,0,,0,0,0,0,0,,0
f39r,0,0,0,0,,0,0,0,0,0,,0
f39v,0,0,0,0,,0,0,0,0,0,,0
f3r,0,1,2,0,cthol,0,2,2,0,2,cthol_family,6
f3v,0,1,0,0,cthy,0,2,0,0,1,cthy_family,3
f40r,0,0,0,0,,0,0,0,0,0,,0
f40v,0,0,0,0,,0,0,0,0,0,,0
f41r,0,0,0,0,,0,0,0,0,0,,0
f41v,0,0,0,0,,0,0,0,0,0,,0
f42r,1,0,2,0,cthol,1,2,2,1,2,cthy_family,8
f42v,0,1,0,0,cthy,0,1,0,0,0,cthy_family,1
f43r,0,0,0,0,,0,0,0,0,0,,0
f43v,0,0,0,1,cthey,0,5,0,1,0,cthy_family,6
f44r,0,0,0,0,,0,0,0,0,0,,0
f44v,0,5,3,0,cthy,0,8,3,0,5,cthy_family,16
f45r,0,4,0,0,cthy,0,5,0,0,1,cthy_family,6
f45v,0,2,0,0,cthy,0,2,0,0,1,cthy_family,3
f46r,0,1,0,0,cthy,0,3,0,0,0,cthy_family,3
f46v,0,1,0,1,cthy,0,2,0,1,0,cthy_family,3
f47r,0,0,0,1,cthey,0,0,0,1,2,cth_other,3
f47v,0,0,0,0,,0,1,0,0,0,cthy_family,1
f48r,0,0,0,0,,0,2,0,1,1,cthy_family,4
f48v,0,0,0,0,,0,2,0,0,0,cthy_family,2
f49r,0,0,0,0,,0,1,0,0,1,cthy_family,2
f49v,0,0,1,1,cthey,0,1,1,2,0,cthey_family,4
f4r,0,2,2,1,cthol,0,2,2,1,1,cthol_family,6
f4v,0,1,1,1,cthy,1,3,1,1,0,cthy_family,6
f50r,0,0,0,0,,0,0,0,0,0,,0
f50v,0,0,0,0,,0,0,0,0,0,,0
f51r,0,0,0,0,,0,0,0,0,0,,0
f51v,0,1,0,0,cthy,0,2,0,0,0,cthy_family,2
f52r,0,0,0,0,,0,0,0,0,0,,0
f52v,3,1,0,0,cthor,4,1,1,0,1,cthor_family,7
f53r,0,0,0,0,,0,1,0,0,1,cthy_family,2
f53v,0,1,1,0,cthy,0,5,1,0,0,cthy_family,6
f54r,0,0,0,0,,0,1,0,0,0,cthy_family,1
f54v,0,0,1,0,cthol,0,3,2,0,0,cthy_family,5
f55r,0,0,0,0,,0,0,0,0,0,,0
f55v,0,0,0,0,,0,0,0,0,0,,0
f56r,0,1,1,0,cthol,0,1,1,0,1,cthol_family,3
f56v,0,0,0,0,,0,0,0,1,1,cth_other,2
f5r,0,1,0,1,cthey,0,3,0,1,0,cthy_family,4
f5v,2,0,0,0,cthor,2,0,0,0,0,cthor_family,2
f6r,0,3,0,0,cthy,0,3,1,0,4,cth_other,8
f6v,0,3,2,0,cthy,0,3,4,0,6,cth_other,13
f7r,0,0,1,0,cthol,0,0,1,0,0,cthol_family,1
f7v,0,2,1,0,cthy,0,2,1,0,1,cthy_family,4
f8r,0,0,0,0,,0,0,0,0,0,,0
f8v,0,0,0,0,,0,0,0,0,2,cth_other,2
f9r,1,3,0,1,cthy,1,3,0,1,2,cthy_family,7
f9v,2,1,0,0,cthor,2,1,0,0,0,cthor_family,3
