folio,currier_lang,currier_hand,page_type,quire
f100r,A,1,C,S
f100v,A,1,D,S
f101r,A,1,E,S
f101v,A,1,H,S
f102r1,A,1,L,S
f102r2,A,1,M,S
f102v1,A,1,P,S
f102v2,A,1,O,S
f103r,B,3,A,T
f103v,B,3,B,T
f104r,B,3,C,T
f104v,B,3,D,T
f105r,B,3,E,T
f105v,B,3,F,T
f106r,B,3,G,T
f106v,B,3,H,T
f107r,B,3,I,T
f107v,B,3,J,T
f108r,B,3,K,T
f108v,B,3,L,T
f10r,A,1,C,B
f10v,A,1,D,B
f111r,B,3,M,T
f111v,B,3,N,T
f112r,B,3,O,T
f112v,B,3,P,T
f113r,B,3,Q,T
f113v,B,3,R,T
f114r,B,3,S,T
f114v,B,3,T,T
f115r,B,@,U,T
f115v,B,3,V,T
f116r,B,3,W,T
f116v,,3,X,T
f11r,A,1,E,B
f11v,A,1,F,B
f13r,A,1,I,B
f13v,A,1,J,B
f14r,A,1,K,B
f14v,A,1,L,B
f15r,A,1,M,B
f15v,A,1,N,B
f16r,A,1,O,B
f16v,A,1,P,B
f17r,A,1,A,C
f17v,A,1,B,C
f18r,A,1,C,C
f18v,A,1,D,C
f19r,A,1,E,C
f19v,A,1,F,C
f1r,A,1,A,A
f1v,A,1,B,A
f20r,A,1,G,C
f20v,A,1,H,C
f21r,A,1,I,C
f21v,A,1,J,C
f22r,A,1,K,C
f22v,A,1,L,C
f23r,A,1,M,C
f23v,A,1,N,C
f24r,A,1,O,C
f24v,A,1,P,C
f25r,A,1,A,D
f25v,A,1,B,D
f26r,B,2,C,D
f26v,B,2,D,D
f27r,A,1,E,D
f27v,A,1,F,D
f28r,A,1,G,D
f28v,A,1,H,D
f29r,A,1,I,D
f29v,A,1,J,D
f2r,A,1,C,A
f2v,A,1,D,A
f30r,A,1,K,D
f30v,A,1,L,D
f31r,B,2,M,D
f31v,B,2,N,D
f32r,A,1,O,D
f32v,A,1,P,D
f33r,B,2,A,E
f33v,B,2,B,E
f34r,B,2,C,E
f34v,B,2,D,E
f35r,A,1,E,E
f35v,A,1,F,E
f36r,A,1,G,E
f36v,A,1,H,E
f37r,A,1,I,E
f37v,A,1,J,E
f38r,A,1,K,E
f38v,A,1,L,E
f39r,B,2,M,E
f39v,B,2,N,E
f3r,A,1,E,A
f3v,A,1,F,A
f40r,B,2,O,E
f40v,B,2,P,E
f41r,B,5,A,F
f41v,B,5,B,F
f42r,A,1,C,F
f42v,A,1,D,F
f43r,B,2,E,F
f43v,B,2,F,F
f44r,A,1,G,F
f44v,A,1,H,F
f45r,A,1,I,F
f45v,A,1,J,F
f46r,B,2,K,F
f46v,B,2,L,F
f47r,A,1,M,F
f47v,A,1,N,F
f48r,B,5,O,F
f48v,B,5,P,F
f49r,A,1,A,G
f49v,A,1,B,G
f4r,A,1,G,A
f4v,A,1,H,A
f50r,B,2,C,G
f50v,B,2,D,G
f51r,A,1,E,G
f51v,A,1,F,G
f52r,A,1,G,G
f52v,A,1,H,G
f53r,A,1,I,G
f53v,A,1,J,G
f54r,A,1,K,G
f54v,A,1,L,G
f55r,B,2,M,G
f55v,B,2,N,G
f56r,A,1,O,G
f56v,A,1,P,G
f57r,B,5,A,H
f57v,,1,B,H
f58r,A,3,C,H
f58v,A,3,D,H
f5r,A,1,I,A
f5v,A,1,J,A
f65r,,3,E,H
f65v,,3,F,H
f66r,B,5,G,H
f66v,B,5,H,H
f67r1,,4,B,I
f67r2,,4,C,I
f67v1,,4,F,I
f67v2,,4,E,I
f68r1,,4,H,I
f68r2,,4,I,I
f68r3,,4,J,I
f68v1,,4,N,I
f68v2,,4,M,I
f68v3,,4,L,I
f69r,,4,A,J
f69v,,4,B,J
f6r,A,1,K,A
f6v,A,1,L,A
f70r1,,4,D,J
f70r2,,4,E,J
f70v1,,4,H,J
f70v2,,4,G,J
f71r,,4,A,K
f71v,,4,B,K
f72r1,,4,D,K
f72r2,,4,E,K
f72r3,,4,F,K
f72v1,,4,J,K
f72v2,,4,I,K
f72v3,,4,H,K
f73r,,4,A,L
f73v,,4,B,L
f75r,B,2,A,M
f75v,B,2,B,M
f76r,B,2,C,M
f76v,B,2,D,M
f77r,B,2,E,M
f77v,B,2,F,M
f78r,B,2,G,M
f78v,B,2,H,M
f79r,B,2,I,M
f79v,B,2,J,M
f7r,A,1,M,A
f7v,A,1,N,A
f80r,B,2,K,M
f80v,B,2,L,M
f81r,B,2,M,M
f81v,B,2,N,M
f82r,B,2,O,M
f82v,B,2,P,M
f83r,B,2,Q,M
f83v,B,2,R,M
f84r,B,2,S,M
f84v,B,2,T,M
f85r1,B,2,B,N
f85r2,B,2,C,N
f86v3,B,2,Q,N
f86v4,B,2,N,N
f86v5,B,2,P,N
f86v6,B,2,O,N
f87r,A,1,A,O
f87v,A,1,B,O
f88r,A,1,C,O
f88v,A,1,D,O
f89r1,A,1,F,O
f89r2,A,1,G,O
f89v1,A,1,J,O
f89v2,A,1,I,O
f8r,A,1,O,A
f8v,A,1,P,A
f90r1,A,1,L,O
f90r2,A,1,M,O
f90v1,A,1,P,O
f90v2,A,1,O,O
f93r,A,1,A,Q
f93v,A,1,B,Q
f94r,B,3,C,Q
f94v,B,3,D,Q
f95r1,B,3,F,Q
f95r2,B,3,G,Q
f95v1,B,3,J,Q
f95v2,B,3,I,Q
f96r,A,1,K,Q
f96v,A,1,L,Q
f99r,A,1,A,S
f99v,A,1,B,S
f9r,A,1,A,B
f9v,A,1,B,B
fRos,B,4,D,N
