token,section,position,relative_position,prev_cell,next_cell,prev_comm,next_comm
dsheor,pharm-herbal,0,0.0,,qok|e|e_grade,UNK,C1
dcheor,pharm-herbal,0,0.0,,sh|o|o_grade,UNK,C0
dcheo,pharm-herbal,0,0.0,,sh|e|e_grade,UNK,C1
dsheody,pharm-herbal,0,0.0,,ok|e|other,UNK,C3
dshol,stars,0,0.0,,sh|o|other,UNK,C0
dsheey,stars,0,0.0,,qot|e|aspect,UNK,C1
dcheeokeody,stars,0,0.0,,qok|bare|paradigm,UNK,C1
dsheoy,stars,0,0.0,,ch|bare|aspect,UNK,C2
dsheedy,stars,0,0.0,,qok|bare|paradigm,UNK,C1
dchodees,stars,0,0.0,,sh|eo|other,UNK,C0
dcheedy,stars,0,0.0,,ch|bare|other,UNK,C2
dchdar,stars,2,0.4,ch|bare|other,ch|bare|aspect,C2,C2
dcheeoy,stars,0,0.0,,qok|bare|other,UNK,C1
dsheey,stars,0,0.0,,qok|e|other,UNK,C1
dcheol,stars,0,0.0,,ch|bare|other,UNK,C2
dshees,stars,0,0.0,,ch|e|e_grade,UNK,C4
dchees,stars,0,0.0,,ch|e|other,UNK,C3
dshedy,stars,0,0.0,,ok|bare|paradigm,UNK,C2
dchedy,stars,0,0.0,,ch|e|e_grade,UNK,C4
dcheo,stars,0,0.0,,ot|e|aspect,UNK,C1
dchedy,stars,2,1.0,qok|e|other,,C1,UNK
dsheol,stars,1,0.12,sh|e|other,qok|e|aspect,C1,C1
dshes,stars,0,0.0,,ch|eo|other,UNK,C0
dshedy,stars,0,0.0,,qot|e|e_grade,UNK,C1
dcheoaiin,stars,0,0.0,,sh|bare|other,UNK,C1
dchey,stars,0,0.0,,qot|eo|other,UNK,C1
dchedy,stars,0,0.0,,ok|e|other,UNK,C3
dcheol,stars,0,0.0,,sh|o|o_grade,UNK,C0
dcheeody,stars,0,0.0,,ch|e|aspect,UNK,C1
dsheol,stars,0,0.0,,qok|e|aspect,UNK,C1
dchedy,stars,0,0.0,,sh|e|aspect,UNK,C1
dshedy,stars,0,0.0,,ch|e|other,UNK,C3
dsheey,stars,0,0.0,,ot|e|e_grade,UNK,C3
dchey,herbal-A,0,0.0,,ch|bare|clitic,UNK,C2
dchy,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dsho,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dshey,stars,0,0.0,,ch|e|aspect,UNK,C1
dsheeo,stars,0,0.0,,qok|e|aspect,UNK,C1
dchedar,stars,0,0.0,,ot|e|e_grade,UNK,C3
dchedshey,stars,0,0.0,,qok|e|aspect,UNK,C1
dshey,stars,0,0.0,,sh|e|other,UNK,C1
