folio,section,trajectory,community_diversity,switches,length
f100r,pharm-herbal,C0 -> C0 -> C1,2,1,3
f100r,pharm-herbal,C0 -> C1 -> C3,3,2,3
f100r,pharm-herbal,C0 -> C2 -> C1 -> C0 -> C1 -> C0 -> C2,3,6,7
f100r,pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0 -> C1,2,3,6
f100r,pharm-herbal,C0 -> C1 -> C1,2,1,3
f100r,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0,1,0,6
f100r,pharm-herbal,C0 -> C1 -> C0 -> C0,2,2,4
f100r,pharm-herbal,C0 -> C0 -> C3 -> C0 -> C0 -> C0,2,2,6
f100r,pharm-herbal,C3 -> C0 -> C0 -> C0 -> C0 -> C3 -> C0,2,3,7
f100r,pharm-herbal,C0 -> C0 -> C0 -> C2 -> C2,2,1,5
f100v,pharm-herbal,C0 -> C0 -> C0 -> C3 -> C0,2,2,5
f100v,pharm-herbal,C4 -> C0 -> C0 -> C4 -> C0 -> C0,2,3,6
f100v,pharm-herbal,C0 -> C4 -> C1 -> C0 -> C3 -> C0 -> C0,4,5,7
f100v,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C2,2,1,7
f100v,pharm-herbal,C3 -> C3 -> C0 -> C0 -> C0,2,1,5
f100v,pharm-herbal,C0 -> C0 -> C0 -> C2,2,1,4
f100v,pharm-herbal,C0 -> C1 -> C0 -> C0 -> C0,2,2,5
f100v,pharm-herbal,C0 -> C0 -> C2 -> C3 -> C0,3,3,5
f100v,pharm-herbal,C3 -> C0,2,1,2
f101r,pharm-herbal,C0 -> C1 -> C0 -> C0 -> C2 -> C0 -> C3 -> C4 -> C3 -> C4,5,8,10
f101r,pharm-herbal,C0 -> C0 -> C3 -> C0 -> C2 -> C1 -> C3,4,5,7
f101r,pharm-herbal,C0 -> C2 -> C2 -> C0 -> C1 -> C2 -> C1 -> C0 -> C1 -> C0,3,8,10
f101r,pharm-herbal,C0 -> C0 -> C0 -> C1 -> C1 -> C1 -> C0 -> C0 -> C0 -> C0 -> C0 -> C1 -> C0 -> C4,3,5,14
f101r,pharm-herbal,C1 -> C1 -> C0 -> C0 -> C0 -> C3 -> C2 -> C0 -> C1 -> C1,4,5,10
f101r,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C3 -> C4 -> C3 -> C0 -> C0 -> C0 -> C1,4,5,15
f101r,pharm-herbal,C3 -> C0 -> C0 -> C0 -> C0 -> C3 -> C3 -> C0 -> C1 -> C0 -> C0 -> C3 -> C0,3,7,13
f101r,pharm-herbal,C2 -> C2 -> C0 -> C0 -> C0 -> C4 -> C0 -> C0,3,3,8
f101r,pharm-herbal,C3 -> C0 -> C3 -> C0 -> C0 -> C0 -> C0 -> C1 -> C1 -> C1 -> C0 -> C0,3,5,12
f101r,pharm-herbal,C0 -> C0 -> C3 -> C2 -> C0 -> C0 -> C1 -> C0 -> C0 -> C0 -> C3,4,6,11
f101v,pharm-herbal,C0 -> C1 -> C1 -> C0 -> C0 -> C0,2,2,6
f101v,pharm-herbal,C0 -> C0 -> C3 -> C1 -> C0 -> C4 -> C0 -> C3,4,6,8
f101v,pharm-herbal,C0 -> C3,2,1,2
f101v,pharm-herbal,C2 -> C3 -> C0 -> C0,3,2,4
f101v,pharm-herbal,C1 -> C1 -> C0 -> C1 -> C0 -> C1 -> C0,2,5,7
f101v,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C1 -> C4 -> C0 -> C1,3,4,8
f101v,pharm-herbal,C0 -> C4 -> C4 -> C1 -> C0 -> C0,3,3,6
f101v,pharm-herbal,C0 -> C3 -> C3 -> C1 -> C0 -> C0 -> C3 -> C4 -> C1 -> C0 -> C0 -> C1 -> C1,4,8,13
f101v,pharm-herbal,C0 -> C0 -> C1 -> C1 -> C0 -> C2 -> C1 -> C0 -> C1 -> C0,3,7,10
f101v,pharm-herbal,C0 -> C0 -> C0 -> C0,1,0,4
f102r1,pharm-herbal,C0 -> C0 -> C0,1,0,3
f102r1,pharm-herbal,C3 -> C1 -> C1 -> C0 -> C0,3,2,5
f102r1,pharm-herbal,C1 -> C1 -> C0,2,1,3
f102r1,pharm-herbal,C0 -> C1 -> C3 -> C0 -> C0,3,3,5
f102r1,pharm-herbal,C0 -> C1 -> C0,2,2,3
f102r1,pharm-herbal,C0 -> C0,1,0,2
f102r1,pharm-herbal,C0 -> C3 -> C3 -> C0,2,2,4
f102r1,pharm-herbal,C0 -> C3 -> C2 -> C0,3,3,4
f102r1,pharm-herbal,C0 -> C1 -> C0 -> C0,2,2,4
f102r1,pharm-herbal,C0 -> C3 -> C3,2,1,3
f102r1,pharm-herbal,C0 -> C1,2,1,2
f102r2,pharm-herbal,C0 -> C0,1,0,2
f102r2,pharm-herbal,C0 -> C1 -> C1 -> C0 -> C1,2,3,5
f102r2,pharm-herbal,C1 -> C0 -> C3,3,2,3
f102r2,pharm-herbal,C1 -> C0,2,1,2
f102r2,pharm-herbal,C1 -> C1 -> C1 -> C2 -> C0,3,2,5
f102r2,pharm-herbal,C0 -> C1 -> C1 -> C1 -> C0 -> C2 -> C2,3,3,7
f102r2,pharm-herbal,C0 -> C3 -> C3 -> C3 -> C1 -> C0,3,3,6
f102r2,pharm-herbal,C4 -> C3,2,1,2
f102r2,pharm-herbal,C0 -> C0,1,0,2
f102r2,pharm-herbal,C0 -> C0,1,0,2
f102r2,pharm-herbal,C0 -> C4 -> C0 -> C0,2,2,4
f102r2,pharm-herbal,C3 -> C0 -> C0 -> C2 -> C3,3,3,5
f102r2,pharm-herbal,C1 -> C0 -> C1,2,2,3
f102r2,pharm-herbal,C1 -> C0 -> C0 -> C1,2,2,4
f102v1,pharm-herbal,C0 -> C1 -> C1 -> C1,2,1,4
f102v1,pharm-herbal,C0 -> C0 -> C0 -> C4 -> C0,2,2,5
f102v1,pharm-herbal,C0 -> C0 -> C1 -> C0,2,2,4
f102v1,pharm-herbal,C0 -> C1 -> C4,3,2,3
f102v1,pharm-herbal,C0 -> C0 -> C3,2,1,3
f102v1,pharm-herbal,C0 -> C3,2,1,2
f102v1,pharm-herbal,C1 -> C1 -> C0 -> C0 -> C1,2,2,5
f102v1,pharm-herbal,C1 -> C3 -> C0 -> C0,3,2,4
f102v1,pharm-herbal,C0 -> C0 -> C0 -> C2 -> C3 -> C0,3,3,6
f102v1,pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0,2,2,5
f102v1,pharm-herbal,C1 -> C0 -> C0 -> C0,2,1,4
f102v1,pharm-herbal,C4 -> C0 -> C0 -> C1 -> C0,3,3,5
f102v1,pharm-herbal,C0 -> C1 -> C3 -> C3,3,2,4
f102v2,pharm-herbal,C3 -> C0 -> C1 -> C0 -> C1 -> C3,3,5,6
f102v2,pharm-herbal,C2 -> C0 -> C0 -> C0,2,1,4
f102v2,pharm-herbal,C0 -> C3,2,1,2
f102v2,pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0 -> C1 -> C1,2,3,7
f102v2,pharm-herbal,C3 -> C0 -> C3 -> C4 -> C3,3,4,5
f102v2,pharm-herbal,C0 -> C0 -> C1 -> C1 -> C0,2,2,5
f102v2,pharm-herbal,C1 -> C1 -> C1 -> C1,1,0,4
f102v2,pharm-herbal,C3 -> C0 -> C1,3,2,3
f102v2,pharm-herbal,C1 -> C1 -> C3,2,1,3
f102v2,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C2 -> C3,3,2,6
f102v2,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C2,2,1,5
f102v2,pharm-herbal,C3 -> C0 -> C0 -> C0 -> C1,3,2,5
f102v2,pharm-herbal,C0 -> C1 -> C1 -> C1 -> C3 -> C0,3,3,6
f102v2,pharm-herbal,C3 -> C4 -> C1 -> C1 -> C1 -> C1 -> C0,4,3,7
f102v2,pharm-herbal,C0 -> C4 -> C1 -> C3,4,3,4
f102v2,pharm-herbal,C4 -> C0 -> C1 -> C0 -> C0 -> C3,4,4,6
f102v2,pharm-herbal,C0 -> C3,2,1,2
f103r,stars,C1 -> C3 -> C1 -> C2 -> C1 -> C2,3,5,6
f103r,stars,C0 -> C0 -> C2 -> C3 -> C1 -> C2 -> C1 -> C1,4,5,8
f103r,stars,C3 -> C2 -> C2 -> C4 -> C1 -> C4 -> C0,5,5,7
f103r,stars,C1 -> C1 -> C3 -> C0 -> C2 -> C1,4,4,6
f103r,stars,C0 -> C1 -> C1 -> C1 -> C3 -> C1 -> C1 -> C1,3,3,8
f103r,stars,C2 -> C1 -> C1 -> C1 -> C1 -> C1 -> C4 -> C2 -> C1,3,4,9
f103r,stars,C1 -> C1 -> C0 -> C1 -> C1,2,2,5
f103r,stars,C0 -> C0 -> C1 -> C4 -> C1 -> C1 -> C1 -> C4 -> C1,3,5,9
f103r,stars,C1 -> C1 -> C1 -> C2 -> C1 -> C2,2,3,6
f103r,stars,C0 -> C2 -> C3 -> C3 -> C2 -> C1 -> C1 -> C3,4,5,8
f103r,stars,C2 -> C4 -> C1 -> C1 -> C1 -> C1 -> C3 -> C2,4,4,8
f103r,stars,C1 -> C3 -> C0 -> C1,3,3,4
f103r,stars,C1 -> C1 -> C1 -> C1 -> C1,1,0,5
f103r,stars,C2 -> C1 -> C3 -> C1 -> C1 -> C2 -> C1,3,5,7
f103r,stars,C2 -> C1 -> C1 -> C1 -> C1 -> C2 -> C2 -> C3 -> C2,3,4,9
f103r,stars,C1 -> C2 -> C0,3,2,3
f103r,stars,C0 -> C3 -> C1 -> C1 -> C2 -> C1 -> C1 -> C3 -> C3 -> C2,4,6,10
f103r,stars,C1 -> C1 -> C2 -> C4 -> C3 -> C1 -> C2 -> C3,4,6,8
f103r,stars,C1 -> C1 -> C0 -> C1 -> C1,2,2,5
f103r,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C4 -> C1 -> C1 -> C1,2,2,9
f103r,stars,C1 -> C2 -> C1 -> C1 -> C2 -> C4,3,4,6
f103r,stars,C1 -> C0 -> C1 -> C2 -> C1,3,4,5
f103r,stars,C1 -> C0 -> C1 -> C2 -> C2 -> C2 -> C2 -> C2,3,3,8
f103r,stars,C1 -> C1 -> C2 -> C1 -> C2 -> C3 -> C2,3,5,7
f103r,stars,C0 -> C2 -> C2 -> C1 -> C1 -> C1 -> C2 -> C2 -> C2,3,3,9
f103r,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1,1,0,7
f103r,stars,C1 -> C3 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C1,3,4,9
f103r,stars,C0 -> C3,2,1,2
f103r,stars,C0 -> C4 -> C0 -> C1 -> C1,3,3,5
f103r,stars,C0 -> C1 -> C1 -> C1 -> C1 -> C1 -> C3 -> C1,3,3,8
f103r,stars,C1 -> C0 -> C0 -> C1 -> C2 -> C2 -> C1,3,4,7
f103r,stars,C3 -> C1 -> C1 -> C2 -> C3 -> C1 -> C1,3,4,7
f103r,stars,C1 -> C2 -> C1 -> C3,3,3,4
f103r,stars,C1 -> C1 -> C1 -> C1 -> C2 -> C3,3,2,6
f103r,stars,C1 -> C1 -> C1 -> C0 -> C0 -> C1 -> C1 -> C2,3,3,8
f103r,stars,C0 -> C1 -> C1 -> C3 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1,3,5,10
f103r,stars,C1 -> C0 -> C0 -> C2,3,2,4
f103r,stars,C2 -> C1 -> C2 -> C1 -> C1 -> C1 -> C3 -> C0 -> C1,4,6,9
f103r,stars,C1 -> C1 -> C1 -> C1,1,0,4
f103r,stars,C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C1,2,2,7
f103r,stars,C0 -> C1 -> C0 -> C0 -> C1 -> C1 -> C1 -> C3,3,4,8
f103r,stars,C3 -> C1,2,1,2
f103r,stars,C0 -> C1 -> C1 -> C1 -> C0,2,2,5
f103r,stars,C1 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1,2,2,7
f103r,stars,C3 -> C1 -> C3 -> C1 -> C1 -> C2 -> C1 -> C1,3,5,8
f103r,stars,C1 -> C4 -> C4 -> C1 -> C1 -> C1 -> C4 -> C1,2,4,8
f103r,stars,C3 -> C1 -> C0,3,2,3
f103r,stars,C3 -> C1 -> C0 -> C3 -> C2,4,4,5
f103r,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1,1,0,7
f103r,stars,C1 -> C1 -> C1 -> C0,2,1,4
f103r,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C2,2,1,8
f103r,stars,C4 -> C1 -> C1 -> C1 -> C1,2,1,5
f103r,stars,C1 -> C1 -> C1 -> C3 -> C2,3,2,5
f103r,stars,C3 -> C2 -> C1 -> C1 -> C1 -> C2 -> C1 -> C3 -> C3,3,5,9
f103v,stars,C1 -> C1 -> C1 -> C3 -> C1 -> C1,2,2,6
f103v,stars,C4 -> C1 -> C1 -> C1 -> C0 -> C1,3,3,6
f103v,stars,C1 -> C1 -> C1 -> C1,1,0,4
f103v,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1,1,0,6
f103v,stars,C3 -> C1 -> C1 -> C2,3,2,4
f103v,stars,C0 -> C0 -> C1 -> C1 -> C1 -> C1 -> C1 -> C2 -> C2,3,2,9
f103v,stars,C3 -> C1 -> C0 -> C2 -> C2,4,3,5
f103v,stars,C1 -> C3 -> C1 -> C2,3,3,4
f103v,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C2 -> C2,2,1,8
f103v,stars,C2 -> C1 -> C1 -> C1,2,1,4
f103v,stars,C4 -> C2 -> C1 -> C3,4,3,4
f103v,stars,C1 -> C1 -> C1 -> C1 -> C3 -> C1 -> C0 -> C2 -> C1 -> C2,4,6,10
f103v,stars,C2 -> C2 -> C2 -> C1 -> C2 -> C2 -> C1 -> C1,2,3,8
f103v,stars,C2 -> C1 -> C1 -> C0 -> C2,3,3,5
f103v,stars,C0 -> C1 -> C1 -> C1 -> C1,2,1,5
f103v,stars,C4 -> C3 -> C2 -> C1 -> C0,5,4,5
f103v,stars,C1 -> C2 -> C2 -> C2,2,1,4
f103v,stars,C1 -> C1 -> C1 -> C2 -> C2 -> C3,3,2,6
f103v,stars,C1 -> C1 -> C3 -> C3,2,1,4
f103v,stars,C1 -> C1 -> C1 -> C1 -> C2 -> C2,2,1,6
f103v,stars,C3 -> C1 -> C3 -> C2 -> C4 -> C1,4,5,6
f103v,stars,C4 -> C0 -> C2 -> C1,4,3,4
f103v,stars,C1 -> C1 -> C1 -> C2 -> C2 -> C0 -> C1 -> C1 -> C1 -> C1,3,3,10
f103v,stars,C2 -> C1,2,1,2
f103v,stars,C1 -> C4 -> C1 -> C1 -> C1 -> C2,3,3,6
f103v,stars,C1 -> C4 -> C1 -> C0 -> C2 -> C1,4,5,6
f103v,stars,C1 -> C1 -> C2 -> C0 -> C3 -> C1,4,4,6
f103v,stars,C1 -> C4 -> C1 -> C1 -> C1 -> C3 -> C1,3,4,7
f103v,stars,C1 -> C1 -> C1 -> C2 -> C2 -> C1 -> C2,2,3,7
f103v,stars,C1 -> C1,1,0,2
f103v,stars,C1 -> C1 -> C1 -> C1 -> C3,2,1,5
f103v,stars,C3 -> C3 -> C4 -> C4 -> C0,3,2,5
f103v,stars,C1 -> C0 -> C3 -> C1 -> C2,4,4,5
f103v,stars,C4 -> C1 -> C1 -> C1,2,1,4
f103v,stars,C1 -> C1 -> C1 -> C1,1,0,4
f103v,stars,C1 -> C1 -> C1 -> C2 -> C1,2,2,5
f103v,stars,C1 -> C4 -> C2,3,2,3
f103v,stars,C2 -> C1 -> C1 -> C1 -> C2,2,2,5
f103v,stars,C1 -> C2 -> C2 -> C1 -> C0,3,3,5
f103v,stars,C1 -> C4 -> C1 -> C1 -> C2,3,3,5
f103v,stars,C0 -> C1 -> C2 -> C2 -> C2,3,2,5
f103v,stars,C3 -> C1 -> C1 -> C3 -> C1 -> C1,2,3,6
f103v,stars,C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C1 -> C1,2,2,8
f103v,stars,C1 -> C0 -> C4 -> C3 -> C2 -> C1 -> C1 -> C1 -> C3,5,6,9
f103v,stars,C1 -> C3 -> C1,2,2,3
f103v,stars,C2 -> C0 -> C0 -> C2 -> C1 -> C1 -> C2,3,4,7
f104r,stars,C1 -> C2 -> C1 -> C3,3,3,4
f104r,stars,C3 -> C2 -> C1 -> C2 -> C0 -> C2,4,5,6
f104r,stars,C2 -> C1 -> C2 -> C0 -> C4 -> C2,4,5,6
f104r,stars,C1 -> C1 -> C1 -> C1 -> C0 -> C2,3,2,6
f104r,stars,C0 -> C0 -> C2 -> C0 -> C1 -> C2,3,4,6
f104r,stars,C3 -> C1 -> C2 -> C0 -> C2,4,4,5
f104r,stars,C0 -> C0 -> C2 -> C2 -> C2 -> C0,2,2,6
f104r,stars,C0 -> C0 -> C0,1,0,3
f104r,stars,C1 -> C1 -> C1 -> C1 -> C3 -> C2 -> C2,3,2,7
