node,community
ok|o|aspect,C0
ok|o|o_grade,C0
ok|o|paradigm,C0
ch|bare|aspect,C0
qok|eo|o_grade,C0
qok|bare|aspect,C0
ok|bare|clitic,C0
qok|eo|aspect,C0
sh|eo|o_grade,C0
ot|eo|other,C0
sh|eo|other,C0
ot|eo|aspect,C0
qok|bare|paradigm,C0
ot|o|e_grade,C0
ok|e|other,C0
ch|o|aspect,C0
qot|eo|clitic,C0
ot|o|aspect,C0
qok|e|e_grade,C0
qok|o|e_grade,C0
qot|e|other,C0
qot|bare|clitic,C0
sh|e|e_grade,C0
ot|bare|other,C0
ot|e|paradigm,C0
qot|o|aspect,C0
qok|bare|e_grade,C0
qot|e|aspect,C0
ot|bare|clitic,C0
qok|e|paradigm,C0
qok|eo|other,C0
qot|bare|paradigm,C0
ot|e|aspect,C0
sh|eo|aspect,C0
qok|bare|clitic,C0
sh|e|clitic,C0
qot|bare|e_grade,C0
qok|e|aspect,C0
ot|bare|paradigm,C0
ok|bare|paradigm,C0
ok|eo|other,C0
ot|o|other,C0
ot|eo|o_grade,C0
ot|bare|e_grade,C0
qot|o|o_grade,C0
ch|e|other,C0
ok|e|clitic,C0
qok|bare|o_grade,C0
qok|o|o_grade,C0
qot|eo|other,C0
ch|eo|other,C0
qok|e|other,C0
ot|bare|o_grade,C0
ot|o|o_grade,C0
ok|e|e_grade,C0
sh|bare|other,C0
qot|eo|aspect,C0
qot|o|other,C0
ot|e|clitic,C0
ok|bare|other,C0
ch|eo|aspect,C0
sh|o|paradigm,C0
qot|e|clitic,C0
qot|eo|o_grade,C0
ch|e|clitic,C0
ok|e|aspect,C0
ch|o|paradigm,C0
sh|e|paradigm,C0
ok|bare|e_grade,C0
sh|bare|aspect,C0
ch|bare|other,C0
sh|e|aspect,C0
qok|e|clitic,C0
qok|bare|other,C0
ok|eo|aspect,C0
qok|o|aspect,C0
qok|e|o_grade,C0
qot|bare|o_grade,C0
qot|e|e_grade,C0
ok|o|other,C0
ot|e|e_grade,C0
sh|e|other,C0
ch|e|aspect,C0
qok|o|other,C0
ot|e|other,C0
ok|eo|o_grade,C0
ch|o|clitic,C1
ok|eo|paradigm,C1
ch|o|other,C1
ch|e|o_grade,C1
qot|bare|other,C1
ch|o|e_grade,C1
sh|o|e_grade,C1
ot|eo|e_grade,C1
ch|o|o_grade,C1
ch|bare|paradigm,C1
sh|eo|clitic,C1
ch|eo|paradigm,C1
ch|bare|clitic,C1
ok|eo|e_grade,C1
ot|o|paradigm,C1
sh|o|aspect,C1
sh|o|clitic,C1
ok|e|paradigm,C1
ch|eo|o_grade,C1
sh|o|o_grade,C1
ch|eo|clitic,C1
ok|o|e_grade,C1
sh|bare|e_grade,C1
qot|o|e_grade,C1
sh|bare|clitic,C1
ch|bare|e_grade,C1
ch|bare|o_grade,C1
ch|e|paradigm,C1
sh|o|other,C1
sh|bare|paradigm,C1
sh|bare|o_grade,C2
FUNC,C2
sh|eo|e_grade,C2
ch|e|e_grade,C2
ch|eo|e_grade,C2
sh|e|o_grade,C2
ot|bare|aspect,C2
ot|eo|clitic,C2
qok|o|paradigm,C2
ok|bare|aspect,C2
ot|o|clitic,C2
ok|bare|o_grade,C2
qok|eo|e_grade,C2
qot|eo|e_grade,C2
ok|eo|clitic,C2
