folio,actual,predicted,match,own_sim,best_other,best_other_sim,margin
f1r,herbal-A,herbal-A,1,0.7760,pharm-herbal,0.6613,-0.1147
f1v,herbal-A,herbal-A,1,0.8156,pharm-herbal,0.6992,-0.1164
f2r,herbal-A,herbal-A,1,0.6718,pharm-herbal,0.4912,-0.1806
f2v,herbal-A,herbal-A,1,0.8343,pharm-herbal,0.6450,-0.1893
f3r,herbal-A,herbal-A,1,0.7172,pharm-herbal,0.6447,-0.0725
f3v,herbal-A,herbal-A,1,0.8097,pharm-herbal,0.6862,-0.1235
f4r,herbal-A,herbal-A,1,0.6827,pharm-herbal,0.4523,-0.2304
f4v,herbal-A,herbal-A,1,0.7331,pharm-herbal,0.6830,-0.0502
f5r,herbal-A,herbal-A,1,0.5394,pharm-herbal,0.4895,-0.0499
f5v,herbal-A,herbal-A,1,0.7599,pharm-herbal,0.6192,-0.1407
f6r,herbal-A,herbal-A,1,0.8243,pharm-herbal,0.6697,-0.1546
f6v,herbal-A,herbal-A,1,0.9017,pharm-herbal,0.7241,-0.1775
f7r,herbal-A,herbal-A,1,0.8589,pharm-herbal,0.7212,-0.1377
f7v,herbal-A,herbal-A,1,0.6871,pharm-herbal,0.5975,-0.0897
f8r,herbal-A,herbal-A,1,0.9241,pharm-herbal,0.7662,-0.1579
f8v,herbal-A,herbal-A,1,0.8169,pharm-herbal,0.6364,-0.1805
f9r,herbal-A,herbal-A,1,0.8847,pharm-herbal,0.6646,-0.2201
f9v,herbal-A,herbal-A,1,0.7665,pharm-herbal,0.5153,-0.2512
f10r,herbal-A,herbal-A,1,0.8328,pharm-herbal,0.5388,-0.2940
f10v,herbal-A,herbal-A,1,0.8012,pharm-herbal,0.5906,-0.2106
f11r,herbal-A,herbal-A,1,0.7583,pharm-herbal,0.5139,-0.2444
f11v,herbal-A,herbal-A,1,0.8155,pharm-herbal,0.5289,-0.2866
f13r,herbal-A,herbal-A,1,0.7281,pharm-herbal,0.4780,-0.2501
f13v,herbal-A,herbal-A,1,0.7107,pharm-herbal,0.4561,-0.2546
f14r,herbal-A,herbal-A,1,0.8187,pharm-herbal,0.6398,-0.1789
f14v,herbal-A,herbal-A,1,0.7681,pharm-herbal,0.4969,-0.2712
f15r,herbal-A,herbal-A,1,0.8368,pharm-herbal,0.6105,-0.2262
f15v,herbal-A,herbal-A,1,0.7939,pharm-herbal,0.6051,-0.1888
f16r,herbal-A,herbal-A,1,0.6980,pharm-herbal,0.4736,-0.2244
f16v,herbal-A,herbal-A,1,0.8118,pharm-herbal,0.5576,-0.2542
f17r,herbal-A,herbal-A,1,0.8833,pharm-herbal,0.6921,-0.1912
f17v,herbal-A,herbal-A,1,0.8047,pharm-herbal,0.7990,-0.0056
f18r,herbal-A,herbal-A,1,0.7811,pharm-herbal,0.5727,-0.2084
f18v,herbal-A,herbal-A,1,0.5659,pharm-herbal,0.2959,-0.2701
f19r,herbal-A,herbal-A,1,0.7335,pharm-herbal,0.4507,-0.2828
f19v,herbal-A,herbal-A,1,0.7981,pharm-herbal,0.5341,-0.2640
f20r,herbal-A,herbal-A,1,0.7989,pharm-herbal,0.6750,-0.1239
f20v,herbal-A,herbal-A,1,0.8623,pharm-herbal,0.6318,-0.2305
f21r,herbal-A,herbal-A,1,0.7901,pharm-herbal,0.6476,-0.1425
f21v,herbal-A,herbal-A,1,0.7524,pharm-herbal,0.5484,-0.2040
f22r,herbal-A,herbal-A,1,0.7837,pharm-herbal,0.5539,-0.2298
f22v,herbal-A,herbal-A,1,0.7846,pharm-herbal,0.5110,-0.2736
f23r,herbal-A,herbal-A,1,0.7154,pharm-herbal,0.5152,-0.2002
f23v,herbal-A,herbal-A,1,0.6361,pharm-herbal,0.5110,-0.1251
f24r,herbal-A,herbal-A,1,0.7604,pharm-herbal,0.7155,-0.0449
f24v,herbal-A,herbal-A,1,0.7986,pharm-herbal,0.6292,-0.1694
f25r,herbal-A,herbal-A,1,0.5768,cosmo/zodiac,0.4627,-0.1141
f25v,herbal-A,herbal-A,1,0.7276,pharm-herbal,0.5386,-0.1891
f26r,herbal-A,balneo,0,0.2880,balneo,0.6783,+0.3904
f26v,herbal-A,stars,0,0.3285,stars,0.7013,+0.3728
f27r,herbal-A,herbal-A,1,0.8175,pharm-herbal,0.6489,-0.1686
f27v,herbal-A,herbal-A,1,0.7327,pharm-herbal,0.4910,-0.2417
f28r,herbal-A,herbal-A,1,0.7290,pharm-herbal,0.6240,-0.1050
f28v,herbal-A,herbal-A,1,0.8345,pharm-herbal,0.6485,-0.1860
f29r,herbal-A,herbal-A,1,0.7245,pharm-herbal,0.6441,-0.0804
f29v,herbal-A,herbal-A,1,0.8234,pharm-herbal,0.6296,-0.1939
f30r,herbal-A,herbal-A,1,0.7530,pharm-herbal,0.7262,-0.0268
f30v,herbal-A,herbal-A,1,0.8371,pharm-herbal,0.7626,-0.0745
f31r,herbal-A,stars,0,0.3443,stars,0.7022,+0.3579
f31v,herbal-A,cosmo/zodiac,0,0.3049,cosmo/zodiac,0.6334,+0.3285
f32r,herbal-A,herbal-A,1,0.8597,pharm-herbal,0.6314,-0.2283
f32v,herbal-A,herbal-A,1,0.8362,pharm-herbal,0.5710,-0.2652
f33r,herbal-A,stars,0,0.4140,stars,0.7174,+0.3035
