from_cell,to_cell,allowed
ch|bare|aspect,ch|bare|aspect,1
ch|bare|aspect,ch|bare|clitic,1
ch|bare|aspect,ch|bare|e_grade,1
ch|bare|aspect,ch|bare|o_grade,0
ch|bare|aspect,ch|bare|other,1
ch|bare|aspect,ch|bare|paradigm,1
ch|bare|aspect,ch|eo|aspect,0
ch|bare|aspect,ch|eo|clitic,0
ch|bare|aspect,ch|eo|e_grade,0
ch|bare|aspect,ch|eo|o_grade,1
ch|bare|aspect,ch|eo|other,0
ch|bare|aspect,ch|eo|paradigm,0
ch|bare|aspect,ch|e|aspect,1
ch|bare|aspect,ch|e|clitic,1
ch|bare|aspect,ch|e|e_grade,1
ch|bare|aspect,ch|e|o_grade,0
ch|bare|aspect,ch|e|other,1
ch|bare|aspect,ch|e|paradigm,0
ch|bare|aspect,ch|o|aspect,1
ch|bare|aspect,ch|o|clitic,0
ch|bare|aspect,ch|o|e_grade,0
ch|bare|aspect,ch|o|o_grade,1
ch|bare|aspect,ch|o|other,1
ch|bare|aspect,ch|o|paradigm,0
ch|bare|aspect,ok|bare|aspect,0
ch|bare|aspect,ok|bare|clitic,1
ch|bare|aspect,ok|bare|e_grade,1
ch|bare|aspect,ok|bare|o_grade,0
ch|bare|aspect,ok|bare|other,1
ch|bare|aspect,ok|bare|paradigm,1
ch|bare|aspect,ok|eo|aspect,0
ch|bare|aspect,ok|eo|clitic,0
ch|bare|aspect,ok|eo|e_grade,0
ch|bare|aspect,ok|eo|o_grade,0
ch|bare|aspect,ok|eo|other,0
ch|bare|aspect,ok|eo|paradigm,0
ch|bare|aspect,ok|e|aspect,1
ch|bare|aspect,ok|e|clitic,0
ch|bare|aspect,ok|e|e_grade,0
ch|bare|aspect,ok|e|other,1
ch|bare|aspect,ok|e|paradigm,0
ch|bare|aspect,ok|o|aspect,0
ch|bare|aspect,ok|o|e_grade,1
ch|bare|aspect,ok|o|o_grade,1
ch|bare|aspect,ok|o|other,0
ch|bare|aspect,ok|o|paradigm,0
ch|bare|aspect,ot|bare|aspect,0
ch|bare|aspect,ot|bare|clitic,1
ch|bare|aspect,ot|bare|e_grade,1
ch|bare|aspect,ot|bare|o_grade,0
ch|bare|aspect,ot|bare|other,1
ch|bare|aspect,ot|bare|paradigm,1
ch|bare|aspect,ot|eo|aspect,0
ch|bare|aspect,ot|eo|clitic,0
ch|bare|aspect,ot|eo|e_grade,0
ch|bare|aspect,ot|eo|o_grade,1
ch|bare|aspect,ot|eo|other,0
ch|bare|aspect,ot|e|aspect,1
ch|bare|aspect,ot|e|clitic,0
ch|bare|aspect,ot|e|e_grade,1
ch|bare|aspect,ot|e|other,1
ch|bare|aspect,ot|e|paradigm,0
ch|bare|aspect,ot|o|aspect,1
ch|bare|aspect,ot|o|clitic,1
ch|bare|aspect,ot|o|e_grade,0
ch|bare|aspect,ot|o|o_grade,1
ch|bare|aspect,ot|o|other,0
ch|bare|aspect,ot|o|paradigm,0
ch|bare|aspect,qok|bare|aspect,0
ch|bare|aspect,qok|bare|clitic,1
ch|bare|aspect,qok|bare|e_grade,1
ch|bare|aspect,qok|bare|o_grade,0
ch|bare|aspect,qok|bare|other,1
ch|bare|aspect,qok|bare|paradigm,1
ch|bare|aspect,qok|eo|aspect,0
ch|bare|aspect,qok|eo|e_grade,0
ch|bare|aspect,qok|eo|o_grade,0
ch|bare|aspect,qok|eo|other,0
ch|bare|aspect,qok|e|aspect,1
ch|bare|aspect,qok|e|clitic,0
ch|bare|aspect,qok|e|e_grade,1
ch|bare|aspect,qok|e|o_grade,0
ch|bare|aspect,qok|e|other,1
ch|bare|aspect,qok|e|paradigm,0
ch|bare|aspect,qok|o|aspect,0
ch|bare|aspect,qok|o|e_grade,0
ch|bare|aspect,qok|o|o_grade,1
ch|bare|aspect,qok|o|other,0
ch|bare|aspect,qok|o|paradigm,0
ch|bare|aspect,qot|bare|clitic,1
ch|bare|aspect,qot|bare|e_grade,1
ch|bare|aspect,qot|bare|o_grade,0
ch|bare|aspect,qot|bare|other,0
ch|bare|aspect,qot|bare|paradigm,1
ch|bare|aspect,qot|eo|aspect,0
ch|bare|aspect,qot|eo|clitic,0
ch|bare|aspect,qot|eo|e_grade,0
ch|bare|aspect,qot|eo|o_grade,0
ch|bare|aspect,qot|eo|other,0
ch|bare|aspect,qot|e|aspect,1
ch|bare|aspect,qot|e|clitic,0
ch|bare|aspect,qot|e|e_grade,0
ch|bare|aspect,qot|e|other,0
ch|bare|aspect,qot|o|aspect,0
ch|bare|aspect,qot|o|e_grade,0
ch|bare|aspect,qot|o|o_grade,1
ch|bare|aspect,qot|o|other,1
ch|bare|aspect,sh|bare|aspect,1
ch|bare|aspect,sh|bare|clitic,1
ch|bare|aspect,sh|bare|e_grade,0
ch|bare|aspect,sh|bare|o_grade,0
ch|bare|aspect,sh|bare|other,1
ch|bare|aspect,sh|bare|paradigm,0
ch|bare|aspect,sh|eo|aspect,0
ch|bare|aspect,sh|eo|clitic,0
ch|bare|aspect,sh|eo|e_grade,0
ch|bare|aspect,sh|eo|o_grade,1
ch|bare|aspect,sh|eo|other,0
ch|bare|aspect,sh|e|aspect,1
ch|bare|aspect,sh|e|clitic,0
ch|bare|aspect,sh|e|e_grade,1
ch|bare|aspect,sh|e|o_grade,0
ch|bare|aspect,sh|e|other,1
ch|bare|aspect,sh|e|paradigm,0
ch|bare|aspect,sh|o|aspect,0
ch|bare|aspect,sh|o|clitic,0
ch|bare|aspect,sh|o|e_grade,0
ch|bare|aspect,sh|o|o_grade,1
ch|bare|aspect,sh|o|other,1
ch|bare|aspect,sh|o|paradigm,0
ch|bare|clitic,ch|bare|aspect,0
ch|bare|clitic,ch|bare|clitic,1
ch|bare|clitic,ch|bare|e_grade,1
ch|bare|clitic,ch|bare|o_grade,1
ch|bare|clitic,ch|bare|other,1
ch|bare|clitic,ch|bare|paradigm,1
ch|bare|clitic,ch|eo|aspect,0
ch|bare|clitic,ch|eo|clitic,0
ch|bare|clitic,ch|eo|e_grade,0
ch|bare|clitic,ch|eo|o_grade,1
ch|bare|clitic,ch|eo|other,0
ch|bare|clitic,ch|eo|paradigm,0
ch|bare|clitic,ch|e|aspect,1
ch|bare|clitic,ch|e|clitic,1
ch|bare|clitic,ch|e|e_grade,1
ch|bare|clitic,ch|e|o_grade,0
ch|bare|clitic,ch|e|other,1
ch|bare|clitic,ch|e|paradigm,1
ch|bare|clitic,ch|o|aspect,1
ch|bare|clitic,ch|o|clitic,0
ch|bare|clitic,ch|o|e_grade,1
ch|bare|clitic,ch|o|o_grade,1
ch|bare|clitic,ch|o|other,1
