section,community,relative_pos
pharm-herbal,C0,0.5
pharm-herbal,C0,1.5
pharm-herbal,C1,2.0
pharm-herbal,C0,0.0
pharm-herbal,C1,1.0
pharm-herbal,C3,1.5
pharm-herbal,C0,0.0
pharm-herbal,C2,0.17
pharm-herbal,C1,0.33
pharm-herbal,C0,0.5
pharm-herbal,C1,0.67
pharm-herbal,C0,0.83
pharm-herbal,C2,1.33
pharm-herbal,C0,0.0
pharm-herbal,C0,0.2
pharm-herbal,C1,0.4
pharm-herbal,C0,0.6
pharm-herbal,C0,0.8
pharm-herbal,C1,1.0
pharm-herbal,C0,0.5
pharm-herbal,C1,2.5
pharm-herbal,C1,3.0
pharm-herbal,C0,0.2
pharm-herbal,C0,0.6
pharm-herbal,C0,0.8
pharm-herbal,C0,1.2
pharm-herbal,C0,1.4
pharm-herbal,C0,1.6
pharm-herbal,C0,0.33
pharm-herbal,C1,1.67
pharm-herbal,C0,2.0
pharm-herbal,C0,2.67
pharm-herbal,C0,0.0
pharm-herbal,C0,0.4
pharm-herbal,C3,1.2
pharm-herbal,C0,1.4
pharm-herbal,C0,1.6
pharm-herbal,C0,1.8
pharm-herbal,C3,0.17
pharm-herbal,C0,0.33
pharm-herbal,C0,0.5
pharm-herbal,C0,0.67
pharm-herbal,C0,1.0
pharm-herbal,C3,1.17
pharm-herbal,C0,1.33
pharm-herbal,C0,0.0
pharm-herbal,C0,0.25
pharm-herbal,C0,0.5
pharm-herbal,C2,0.75
pharm-herbal,C2,1.0
pharm-herbal,C0,0.0
pharm-herbal,C0,0.25
pharm-herbal,C0,1.0
pharm-herbal,C3,1.25
pharm-herbal,C0,1.75
pharm-herbal,C4,0.2
pharm-herbal,C0,0.8
pharm-herbal,C0,1.2
pharm-herbal,C4,1.4
pharm-herbal,C0,1.6
pharm-herbal,C0,1.8
pharm-herbal,C0,0.17
pharm-herbal,C4,0.33
pharm-herbal,C1,0.83
pharm-herbal,C0,1.0
pharm-herbal,C3,1.17
pharm-herbal,C0,1.33
pharm-herbal,C0,1.5
pharm-herbal,C0,0.0
pharm-herbal,C0,0.17
pharm-herbal,C0,0.33
pharm-herbal,C0,0.5
pharm-herbal,C0,0.67
pharm-herbal,C0,0.83
pharm-herbal,C2,1.0
pharm-herbal,C3,0.75
pharm-herbal,C3,1.0
pharm-herbal,C0,1.75
pharm-herbal,C0,2.0
pharm-herbal,C0,2.25
pharm-herbal,C0,0.33
pharm-herbal,C0,0.67
pharm-herbal,C0,1.0
pharm-herbal,C2,1.67
pharm-herbal,C0,0.25
pharm-herbal,C1,0.5
pharm-herbal,C0,0.75
