section,community,relative_pos,count,probability
balneo,C0,0.0,86,0.11716621253405994
balneo,C0,0.11,1,0.2
balneo,C0,0.12,1,0.045454545454545456
balneo,C0,0.14,2,0.05263157894736842
balneo,C0,0.17,3,0.04411764705882353
balneo,C0,0.2,14,0.12280701754385964
balneo,C0,0.25,9,0.05113636363636364
balneo,C0,0.29,2,0.05263157894736842
balneo,C0,0.33,27,0.11790393013100436
balneo,C0,0.38,1,0.045454545454545456
balneo,C0,0.4,16,0.14035087719298245
balneo,C0,0.43,5,0.13157894736842105
balneo,C0,0.5,30,0.08450704225352113
balneo,C0,0.57,5,0.13157894736842105
balneo,C0,0.6,5,0.043859649122807015
balneo,C0,0.62,3,0.13636363636363635
balneo,C0,0.67,14,0.0611353711790393
balneo,C0,0.71,1,0.02631578947368421
balneo,C0,0.75,17,0.09659090909090909
balneo,C0,0.78,1,0.2
balneo,C0,0.8,1,0.008771929824561403
balneo,C0,0.83,4,0.058823529411764705
balneo,C0,0.86,5,0.13157894736842105
balneo,C0,0.88,2,0.09090909090909091
balneo,C0,0.89,1,0.2
balneo,C0,1.0,57,0.0776566757493188
balneo,C1,0.0,508,0.6920980926430518
balneo,C1,0.1,1,1.0
balneo,C1,0.11,3,0.6
balneo,C1,0.12,18,0.8181818181818182
balneo,C1,0.14,30,0.7894736842105263
balneo,C1,0.17,53,0.7794117647058824
balneo,C1,0.2,78,0.6842105263157895
balneo,C1,0.22,3,0.6
balneo,C1,0.25,119,0.6761363636363636
balneo,C1,0.29,26,0.6842105263157895
balneo,C1,0.3,1,1.0
balneo,C1,0.33,139,0.6069868995633187
balneo,C1,0.38,16,0.7272727272727273
balneo,C1,0.4,71,0.6228070175438597
balneo,C1,0.43,21,0.5526315789473685
balneo,C1,0.44,4,0.8
balneo,C1,0.5,236,0.6647887323943662
balneo,C1,0.56,2,0.4
balneo,C1,0.57,24,0.631578947368421
balneo,C1,0.6,79,0.6929824561403509
balneo,C1,0.62,12,0.5454545454545454
balneo,C1,0.67,143,0.6244541484716157
balneo,C1,0.7,1,1.0
balneo,C1,0.71,25,0.6578947368421053
balneo,C1,0.75,107,0.6079545454545454
balneo,C1,0.78,4,0.8
balneo,C1,0.8,86,0.7543859649122807
balneo,C1,0.83,47,0.6911764705882353
