folio,section,pattern
f100r,pharm-herbal,C1->C0->C1
f100r,pharm-herbal,C0->C1->C0
f100r,pharm-herbal,C0->C1->C0
f100r,pharm-herbal,C0->C0->C0
f100r,pharm-herbal,C0->C0->C0
f100r,pharm-herbal,C0->C0->C0
f100r,pharm-herbal,C0->C0->C0
f100r,pharm-herbal,C0->C1->C0
f100r,pharm-herbal,C0->C3->C0
f100r,pharm-herbal,C0->C0->C0
f100r,pharm-herbal,C0->C0->C0
f100r,pharm-herbal,C0->C0->C0
f100r,pharm-herbal,C0->C3->C0
f100r,pharm-herbal,C0->C0->C0
f100v,pharm-herbal,C0->C0->C0
f100v,pharm-herbal,C0->C3->C0
f100v,pharm-herbal,C0->C4->C0
f100v,pharm-herbal,C0->C3->C0
f100v,pharm-herbal,C0->C0->C0
f100v,pharm-herbal,C0->C0->C0
f100v,pharm-herbal,C0->C0->C0
f100v,pharm-herbal,C0->C0->C0
f100v,pharm-herbal,C0->C0->C0
f100v,pharm-herbal,C0->C0->C0
f100v,pharm-herbal,C0->C1->C0
f100v,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C1->C0
f101r,pharm-herbal,C0->C2->C0
f101r,pharm-herbal,C3->C4->C3
f101r,pharm-herbal,C4->C3->C4
f101r,pharm-herbal,C0->C3->C0
f101r,pharm-herbal,C1->C2->C1
f101r,pharm-herbal,C1->C0->C1
f101r,pharm-herbal,C0->C1->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C1->C1->C1
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C1->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C3->C4->C3
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C1->C0
f101r,pharm-herbal,C0->C3->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C4->C0
f101r,pharm-herbal,C3->C0->C3
f101r,pharm-herbal,C0->C3->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C0->C0->C0
f101r,pharm-herbal,C1->C1->C1
f101r,pharm-herbal,C0->C1->C0
f101r,pharm-herbal,C0->C0->C0
f101v,pharm-herbal,C0->C0->C0
f101v,pharm-herbal,C0->C4->C0
f101v,pharm-herbal,C1->C0->C1
f101v,pharm-herbal,C0->C1->C0
f101v,pharm-herbal,C1->C0->C1
f101v,pharm-herbal,C0->C1->C0
f101v,pharm-herbal,C0->C0->C0
f101v,pharm-herbal,C0->C0->C0
f101v,pharm-herbal,C1->C0->C1
f101v,pharm-herbal,C0->C1->C0
f101v,pharm-herbal,C0->C0->C0
f101v,pharm-herbal,C0->C0->C0
f102r1,pharm-herbal,C0->C0->C0
f102r1,pharm-herbal,C0->C1->C0
f102r1,pharm-herbal,C0->C1->C0
f102r2,pharm-herbal,C1->C0->C1
f102r2,pharm-herbal,C1->C1->C1
f102r2,pharm-herbal,C1->C1->C1
f102r2,pharm-herbal,C3->C3->C3
f102r2,pharm-herbal,C0->C4->C0
f102r2,pharm-herbal,C1->C0->C1
f102v1,pharm-herbal,C1->C1->C1
f102v1,pharm-herbal,C0->C0->C0
f102v1,pharm-herbal,C0->C4->C0
f102v1,pharm-herbal,C0->C1->C0
f102v1,pharm-herbal,C0->C0->C0
f102v1,pharm-herbal,C0->C1->C0
f102v1,pharm-herbal,C0->C0->C0
f102v1,pharm-herbal,C0->C1->C0
f102v2,pharm-herbal,C0->C1->C0
f102v2,pharm-herbal,C1->C0->C1
f102v2,pharm-herbal,C0->C0->C0
f102v2,pharm-herbal,C0->C1->C0
f102v2,pharm-herbal,C3->C0->C3
f102v2,pharm-herbal,C3->C4->C3
f102v2,pharm-herbal,C1->C1->C1
f102v2,pharm-herbal,C1->C1->C1
f102v2,pharm-herbal,C0->C0->C0
f102v2,pharm-herbal,C0->C0->C0
f102v2,pharm-herbal,C0->C0->C0
f102v2,pharm-herbal,C0->C0->C0
f102v2,pharm-herbal,C0->C0->C0
