section,base,grade,suffix_axis,count,pct_of_base_grade
balneo,ch,bare,e_grade,24,8.86
balneo,ch,bare,o_grade,7,2.58
balneo,ch,bare,aspect,54,19.93
balneo,ch,bare,paradigm,1,0.37
balneo,ch,bare,clitic,18,6.64
balneo,ch,bare,other,167,61.62
balneo,ch,e,e_grade,151,25.29
balneo,ch,e,aspect,268,44.89
balneo,ch,e,clitic,9,1.51
balneo,ch,e,other,169,28.31
balneo,ch,o,o_grade,19,61.29
balneo,ch,o,other,12,38.71
balneo,ch,eo,e_grade,1,1.69
balneo,ch,eo,o_grade,46,77.97
balneo,ch,eo,other,12,20.34
balneo,sh,bare,e_grade,13,11.30
balneo,sh,bare,o_grade,3,2.61
balneo,sh,bare,aspect,13,11.30
balneo,sh,bare,paradigm,1,0.87
balneo,sh,bare,clitic,11,9.57
balneo,sh,bare,other,74,64.35
balneo,sh,e,e_grade,141,22.45
balneo,sh,e,aspect,328,52.23
balneo,sh,e,clitic,8,1.27
balneo,sh,e,other,151,24.04
balneo,sh,o,o_grade,21,61.76
balneo,sh,o,aspect,1,2.94
balneo,sh,o,other,12,35.29
balneo,sh,eo,o_grade,40,85.11
balneo,sh,eo,other,7,14.89
balneo,qok,bare,e_grade,62,12.13
balneo,qok,bare,o_grade,3,0.59
balneo,qok,bare,aspect,1,0.20
balneo,qok,bare,paradigm,253,49.51
balneo,qok,bare,clitic,164,32.09
balneo,qok,bare,other,28,5.48
balneo,qok,e,e_grade,131,27.07
balneo,qok,e,o_grade,1,0.21
balneo,qok,e,aspect,318,65.70
balneo,qok,e,clitic,4,0.83
balneo,qok,e,other,30,6.20
balneo,qok,o,o_grade,26,78.79
balneo,qok,o,other,7,21.21
balneo,qok,eo,e_grade,1,12.50
balneo,qok,eo,o_grade,6,75.00
balneo,qok,eo,other,1,12.50
balneo,qot,bare,e_grade,29,23.97
balneo,qot,bare,o_grade,1,0.83
balneo,qot,bare,paradigm,36,29.75
balneo,qot,bare,clitic,44,36.36
balneo,qot,bare,other,11,9.09
balneo,qot,e,e_grade,14,12.07
balneo,qot,e,aspect,90,77.59
balneo,qot,e,other,12,10.34
balneo,qot,o,o_grade,8,80.00
balneo,qot,o,other,2,20.00
balneo,qot,eo,o_grade,1,100.00
balneo,ok,bare,e_grade,15,8.77
balneo,ok,bare,paradigm,81,47.37
balneo,ok,bare,clitic,50,29.24
balneo,ok,bare,other,25,14.62
balneo,ok,e,e_grade,29,21.32
balneo,ok,e,aspect,87,63.97
balneo,ok,e,other,20,14.71
balneo,ok,o,o_grade,12,75.00
balneo,ok,o,other,4,25.00
balneo,ok,eo,o_grade,4,80.00
balneo,ok,eo,other,1,20.00
balneo,ot,bare,e_grade,22,17.46
balneo,ot,bare,aspect,1,0.79
balneo,ot,bare,paradigm,37,29.37
balneo,ot,bare,clitic,45,35.71
balneo,ot,bare,other,21,16.67
balneo,ot,e,e_grade,33,26.83
balneo,ot,e,aspect,77,62.60
balneo,ot,e,other,13,10.57
balneo,ot,o,o_grade,16,66.67
balneo,ot,o,aspect,1,4.17
balneo,ot,o,other,7,29.17
balneo,ot,eo,o_grade,3,75.00
balneo,ot,eo,other,1,25.00
cosmo/zodiac,ch,bare,e_grade,42,20.90
cosmo/zodiac,ch,bare,o_grade,2,1.00
cosmo/zodiac,ch,bare,aspect,24,11.94
cosmo/zodiac,ch,bare,paradigm,3,1.49
cosmo/zodiac,ch,bare,clitic,27,13.43
cosmo/zodiac,ch,bare,other,103,51.24
cosmo/zodiac,ch,e,e_grade,49,19.84
cosmo/zodiac,ch,e,o_grade,1,0.40
cosmo/zodiac,ch,e,aspect,31,12.55
cosmo/zodiac,ch,e,clitic,14,5.67
cosmo/zodiac,ch,e,other,152,61.54
cosmo/zodiac,ch,o,e_grade,11,4.42
cosmo/zodiac,ch,o,o_grade,54,21.69
cosmo/zodiac,ch,o,aspect,13,5.22
cosmo/zodiac,ch,o,paradigm,1,0.40
cosmo/zodiac,ch,o,clitic,3,1.20
cosmo/zodiac,ch,o,other,167,67.07
cosmo/zodiac,ch,eo,e_grade,14,11.20
cosmo/zodiac,ch,eo,o_grade,30,24.00
cosmo/zodiac,ch,eo,aspect,20,16.00
cosmo/zodiac,ch,eo,clitic,1,0.80
cosmo/zodiac,ch,eo,other,60,48.00
cosmo/zodiac,sh,bare,e_grade,13,20.31
cosmo/zodiac,sh,bare,aspect,6,9.38
cosmo/zodiac,sh,bare,clitic,9,14.06
cosmo/zodiac,sh,bare,other,36,56.25
cosmo/zodiac,sh,e,e_grade,42,27.63
cosmo/zodiac,sh,e,o_grade,1,0.66
cosmo/zodiac,sh,e,aspect,28,18.42
cosmo/zodiac,sh,e,paradigm,1,0.66
cosmo/zodiac,sh,e,clitic,7,4.61
cosmo/zodiac,sh,e,other,73,48.03
cosmo/zodiac,sh,o,e_grade,9,11.11
cosmo/zodiac,sh,o,o_grade,23,28.40
cosmo/zodiac,sh,o,aspect,1,1.23
cosmo/zodiac,sh,o,paradigm,1,1.23
cosmo/zodiac,sh,o,clitic,1,1.23
cosmo/zodiac,sh,o,other,46,56.79
cosmo/zodiac,sh,eo,e_grade,10,16.13
cosmo/zodiac,sh,eo,o_grade,14,22.58
cosmo/zodiac,sh,eo,aspect,13,20.97
cosmo/zodiac,sh,eo,other,25,40.32
cosmo/zodiac,qok,bare,e_grade,10,12.82
cosmo/zodiac,qok,bare,paradigm,14,17.95
cosmo/zodiac,qok,bare,clitic,31,39.74
cosmo/zodiac,qok,bare,other,23,29.49
cosmo/zodiac,qok,e,e_grade,16,45.71
cosmo/zodiac,qok,e,aspect,9,25.71
cosmo/zodiac,qok,e,clitic,1,2.86
cosmo/zodiac,qok,e,other,9,25.71
cosmo/zodiac,qok,o,o_grade,10,76.92
cosmo/zodiac,qok,o,paradigm,2,15.38
