section,base,grade,axis,specific_suffix,count
balneo,ch,bare,other,alorchey,1
balneo,ch,bare,other,cthy,26
balneo,ch,bare,other,ckhy,42
balneo,ch,bare,other,dyshey,1
balneo,ch,bare,other,yokshedy,1
balneo,ch,bare,other,kal,1
balneo,ch,bare,other,sdy,5
balneo,ch,bare,other,cthedy,2
balneo,ch,bare,other,kar,1
balneo,ch,bare,other,dar,3
balneo,ch,bare,other,aror,1
balneo,ch,bare,other,ckhey,8
balneo,ch,bare,other,cfhdy,1
balneo,ch,bare,other,cphy,1
balneo,ch,bare,other,cphdy,1
balneo,ch,bare,other,korol,1
balneo,ch,bare,other,dam,1
balneo,ch,bare,other,cphedy,1
balneo,ch,bare,other,ckheed,1
balneo,ch,bare,other,ckh,1
balneo,ch,bare,other,psheedy,1
balneo,ch,bare,other,dyl,1
balneo,ch,bare,other,aly,1
balneo,ch,bare,other,dol,1
balneo,ch,bare,other,pchedy,1
balneo,ch,bare,other,laiiin,1
balneo,ch,bare,other,kaiin,1
balneo,ch,bare,other,ckhedy,6
balneo,ch,bare,other,ky,2
balneo,ch,bare,other,cphey,2
balneo,ch,bare,other,lchpsheey,1
balneo,ch,bare,other,s,2
balneo,ch,bare,other,adchy,1
balneo,ch,bare,other,dor,1
balneo,ch,bare,other,dain,1
balneo,ch,bare,other,dldlo,1
balneo,ch,bare,other,cthey,2
balneo,ch,bare,other,ckhd,1
balneo,ch,bare,other,ckhdy,5
balneo,ch,bare,other,doltdy,1
balneo,ch,bare,other,ckhal,2
balneo,ch,bare,other,ty,3
balneo,ch,bare,other,faiin,1
balneo,ch,bare,other,sey,1
balneo,ch,bare,other,yteey,1
balneo,ch,bare,other,d,2
balneo,ch,bare,other,ckhes,1
balneo,ch,bare,other,kain,3
balneo,ch,bare,other,kag,1
balneo,ch,bare,other,tal,1
balneo,ch,bare,other,sed,1
balneo,ch,bare,other,keey,1
balneo,ch,bare,other,kedy,3
balneo,ch,bare,other,tedy,1
balneo,ch,bare,other,darol,1
balneo,ch,bare,other,keedy,2
balneo,ch,bare,other,ary,1
balneo,ch,bare,other,ldaiin,1
balneo,ch,bare,other,cthdy,1
balneo,ch,bare,other,torol,1
balneo,ch,bare,other,dal,1
balneo,ch,bare,other,tair,1
balneo,ch,bare,other,aloly,1
balneo,ch,bare,other,tol,1
balneo,ch,bare,other,ckhor,1
balneo,ch,bare,e_grade,y,23
balneo,ch,bare,e_grade,,1
balneo,ch,bare,aspect,dy,54
balneo,ch,bare,clitic,ar,7
balneo,ch,bare,clitic,al,9
balneo,ch,bare,clitic,am,2
balneo,ch,bare,o_grade,l,6
balneo,ch,bare,o_grade,r,1
balneo,ch,bare,paradigm,ain,1
balneo,ch,e,other,dykaryokeey,1
balneo,ch,e,other,dykar,1
balneo,ch,e,other,keedy,1
balneo,ch,e,other,yckhey,1
balneo,ch,e,other,ckhy,22
balneo,ch,e,other,kam,1
balneo,ch,e,other,dysol,1
balneo,ch,e,other,dyor,2
balneo,ch,e,other,dyqokam,1
balneo,ch,e,other,cthy,18
balneo,ch,e,other,eky,10
balneo,ch,e,other,ky,10
balneo,ch,e,other,kar,2
balneo,ch,e,other,tas,1
balneo,ch,e,other,ty,4
balneo,ch,e,other,d,6
balneo,ch,e,other,sy,1
balneo,ch,e,other,aly,2
balneo,ch,e,other,p,1
balneo,ch,e,other,dain,2
balneo,ch,e,other,s,10
balneo,ch,e,other,kain,2
balneo,ch,e,other,kair,1
balneo,ch,e,other,py,1
balneo,ch,e,other,dor,1
balneo,ch,e,other,dyl,1
balneo,ch,e,other,ckhey,2
balneo,ch,e,other,daiin,6
balneo,ch,e,other,dyotedy,1
balneo,ch,e,other,dal,2
balneo,ch,e,other,cthey,1
balneo,ch,e,other,dchey,1
balneo,ch,e,other,es,6
balneo,ch,e,other,k,1
balneo,ch,e,other,tey,2
balneo,ch,e,other,eol,1
balneo,ch,e,other,alor,1
balneo,ch,e,other,ety,2
balneo,ch,e,other,e,1
balneo,ch,e,other,dar,6
balneo,ch,e,other,daly,1
balneo,ch,e,other,dol,3
balneo,ch,e,other,ef,1
balneo,ch,e,other,ekey,1
balneo,ch,e,other,tain,2
balneo,ch,e,other,ykain,1
balneo,ch,e,other,eytal,1
balneo,ch,e,other,dyr,1
balneo,ch,e,other,yqytaiin,1
balneo,ch,e,other,eor,1
balneo,ch,e,other,tyry,1
balneo,ch,e,other,tedy,2
balneo,ch,e,other,kal,1
balneo,ch,e,other,choltar,1
balneo,ch,e,other,ckho,1
balneo,ch,e,other,pol,1
balneo,ch,e,other,g,1
balneo,ch,e,other,dchy,1
balneo,ch,e,other,cphedy,1
balneo,ch,e,other,eb,1
balneo,ch,e,other,edar,1
balneo,ch,e,other,alror,1
balneo,ch,e,other,eety,1
balneo,ch,e,other,pchedy,1
balneo,ch,e,other,cthedy,1
balneo,ch,e,other,eaiin,1
balneo,ch,e,other,eal,1
balneo,ch,e,other,ckhdy,1
balneo,ch,e,aspect,dy,243
balneo,ch,e,aspect,edy,25
balneo,ch,e,e_grade,y,109
balneo,ch,e,e_grade,ey,42
balneo,ch,e,clitic,ar,5
balneo,ch,e,clitic,al,4
balneo,ch,o,other,rshedy,1
balneo,ch,o,other,daiin,1
