cell,count
ch|o|o_grade,98
ch|o|other,87
ch|bare|other,74
qok|e|aspect,72
ch|e|other,70
ch|e|aspect,40
ch|bare|e_grade,39
ch|e|e_grade,37
sh|e|aspect,29
sh|e|e_grade,29
sh|o|o_grade,26
qok|e|e_grade,23
ch|bare|aspect,20
sh|e|other,19
ot|bare|paradigm,16
ot|bare|clitic,15
sh|bare|other,15
ok|bare|paradigm,13
ok|e|e_grade,12
qok|bare|paradigm,11
ch|eo|o_grade,11
ok|bare|clitic,11
qot|e|aspect,10
qok|bare|clitic,10
ch|bare|clitic,10
ok|e|aspect,9
ot|e|e_grade,9
sh|o|other,8
ot|e|aspect,8
sh|o|e_grade,7
ot|eo|other,6
ot|e|other,6
ok|e|other,6
ch|eo|other,5
ch|bare|paradigm,4
ch|e|clitic,3
sh|eo|o_grade,3
ok|eo|o_grade,3
qok|o|o_grade,3
qok|e|other,3
sh|eo|other,3
ok|o|other,3
ok|bare|other,2
ch|eo|e_grade,2
ch|o|e_grade,2
ot|bare|e_grade,2
ch|o|aspect,2
sh|bare|e_grade,2
ok|bare|e_grade,1
qot|o|o_grade,1
sh|bare|clitic,1
qok|bare|e_grade,1
qot|e|other,1
sh|bare|aspect,1
sh|eo|aspect,1
qok|eo|aspect,1
qot|e|e_grade,1
ot|eo|aspect,1
ok|eo|other,1
qot|bare|clitic,1
qot|bare|e_grade,1
ot|o|other,1
ok|o|o_grade,1
qok|eo|o_grade,1
