x,y,section,trajectory
6.109367,5.358778,pharm-herbal,C0 -> C0 -> C1
6.0741405,5.372715,pharm-herbal,C0 -> C1 -> C3
6.125229,5.4308047,pharm-herbal,C0 -> C2 -> C1 -> C0 -> C1 -> C0 -> C2
6.1308274,5.4953437,pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0 -> C1
6.0708175,5.536408,pharm-herbal,C0 -> C1 -> C1
6.1333976,5.518922,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0
6.239424,5.51538,pharm-herbal,C0 -> C1 -> C0 -> C0
6.229645,5.532189,pharm-herbal,C0 -> C0 -> C3 -> C0 -> C0 -> C0
6.188204,5.523464,pharm-herbal,C3 -> C0 -> C0 -> C0 -> C0 -> C3 -> C0
6.2025037,5.4989038,pharm-herbal,C0 -> C0 -> C0 -> C2 -> C2
6.1238995,5.4857626,pharm-herbal,C0 -> C0 -> C0 -> C3 -> C0
6.2116895,5.503018,pharm-herbal,C4 -> C0 -> C0 -> C4 -> C0 -> C0
5.9259624,5.5396304,pharm-herbal,C0 -> C4 -> C1 -> C0 -> C3 -> C0 -> C0
5.8336043,5.5791345,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C2
7.379102,7.6654463,pharm-herbal,C3 -> C3 -> C0 -> C0 -> C0
-10.681826,9.777216,pharm-herbal,C0 -> C0 -> C0 -> C2
7.2574368,7.587923,pharm-herbal,C0 -> C1 -> C0 -> C0 -> C0
7.4730334,7.4684043,pharm-herbal,C0 -> C0 -> C2 -> C3 -> C0
-22.504206,7.0903454,pharm-herbal,C3 -> C0
7.3036017,7.848927,pharm-herbal,C0 -> C1 -> C0 -> C0 -> C2 -> C0 -> C3 -> C4 -> C3 -> C4
7.4526505,7.637432,pharm-herbal,C0 -> C0 -> C3 -> C0 -> C2 -> C1 -> C3
7.2674675,7.5919905,pharm-herbal,C0 -> C2 -> C2 -> C0 -> C1 -> C2 -> C1 -> C0 -> C1 -> C0
7.3785324,7.708571,pharm-herbal,C0 -> C0 -> C0 -> C1 -> C1 -> C1 -> C0 -> C0 -> C0 -> C0 -> C0 -> C1 -> C0 -> C4
7.398232,7.751858,pharm-herbal,C1 -> C1 -> C0 -> C0 -> C0 -> C3 -> C2 -> C0 -> C1 -> C1
7.367248,7.6074057,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C3 -> C4 -> C3 -> C0 -> C0 -> C0 -> C1
7.4971333,7.6324873,pharm-herbal,C3 -> C0 -> C0 -> C0 -> C0 -> C3 -> C3 -> C0 -> C1 -> C0 -> C0 -> C3 -> C0
7.4825616,7.494449,pharm-herbal,C2 -> C2 -> C0 -> C0 -> C0 -> C4 -> C0 -> C0
7.4442277,7.871918,pharm-herbal,C3 -> C0 -> C3 -> C0 -> C0 -> C0 -> C0 -> C1 -> C1 -> C1 -> C0 -> C0
7.4449596,7.762471,pharm-herbal,C0 -> C0 -> C3 -> C2 -> C0 -> C0 -> C1 -> C0 -> C0 -> C0 -> C3
7.544702,7.8764443,pharm-herbal,C0 -> C1 -> C1 -> C0 -> C0 -> C0
7.337237,7.8206353,pharm-herbal,C0 -> C0 -> C3 -> C1 -> C0 -> C4 -> C0 -> C3
-5.23685,25.586796,pharm-herbal,C0 -> C3
7.431478,7.7285933,pharm-herbal,C2 -> C3 -> C0 -> C0
7.445774,7.943175,pharm-herbal,C1 -> C1 -> C0 -> C1 -> C0 -> C1 -> C0
7.371126,7.738708,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C1 -> C4 -> C0 -> C1
7.3583183,7.890269,pharm-herbal,C0 -> C4 -> C4 -> C1 -> C0 -> C0
7.3661504,7.8404837,pharm-herbal,C0 -> C3 -> C3 -> C1 -> C0 -> C0 -> C3 -> C4 -> C1 -> C0 -> C0 -> C1 -> C1
7.4037747,7.86509,pharm-herbal,C0 -> C0 -> C1 -> C1 -> C0 -> C2 -> C1 -> C0 -> C1 -> C0
14.84286,-18.77034,pharm-herbal,C0 -> C0 -> C0 -> C0
23.846691,-11.061332,pharm-herbal,C0 -> C0 -> C0
7.4013953,7.8362184,pharm-herbal,C3 -> C1 -> C1 -> C0 -> C0
-14.012814,19.294151,pharm-herbal,C1 -> C1 -> C0
7.499034,7.695473,pharm-herbal,C0 -> C1 -> C3 -> C0 -> C0
1.5432492,-14.7180195,pharm-herbal,C0 -> C1 -> C0
1.3587768,27.94366,pharm-herbal,C0 -> C0
7.400912,8.042646,pharm-herbal,C0 -> C3 -> C3 -> C0
7.6505985,7.771349,pharm-herbal,C0 -> C3 -> C2 -> C0
5.6079674,4.979475,pharm-herbal,C0 -> C1 -> C0 -> C0
7.080201,8.209796,pharm-herbal,C0 -> C3 -> C3
-18.430876,-5.0017567,pharm-herbal,C0 -> C1
1.3489292,27.943144,pharm-herbal,C0 -> C0
7.4026,7.923328,pharm-herbal,C0 -> C1 -> C1 -> C0 -> C1
2.856083,5.7620735,pharm-herbal,C1 -> C0 -> C3
-20.14948,1.681545,pharm-herbal,C1 -> C0
7.4205523,7.9852858,pharm-herbal,C1 -> C1 -> C1 -> C2 -> C0
7.526908,8.137501,pharm-herbal,C0 -> C1 -> C1 -> C1 -> C0 -> C2 -> C2
7.431591,7.9480696,pharm-herbal,C0 -> C3 -> C3 -> C3 -> C1 -> C0
7.24663,8.250494,pharm-herbal,C4 -> C3
1.3520182,27.953054,pharm-herbal,C0 -> C0
1.3684052,27.963957,pharm-herbal,C0 -> C0
6.6977344,8.39189,pharm-herbal,C0 -> C4 -> C0 -> C0
7.371674,8.014195,pharm-herbal,C3 -> C0 -> C0 -> C2 -> C3
5.5048094,3.6766326,pharm-herbal,C1 -> C0 -> C1
7.2908015,8.153129,pharm-herbal,C1 -> C0 -> C0 -> C1
7.1060586,8.29983,pharm-herbal,C0 -> C1 -> C1 -> C1
7.3536944,7.918331,pharm-herbal,C0 -> C0 -> C0 -> C4 -> C0
6.0097456,2.0197215,pharm-herbal,C0 -> C0 -> C1 -> C0
7.440963,8.083583,pharm-herbal,C0 -> C1 -> C4
4.8463955,7.007739,pharm-herbal,C0 -> C0 -> C3
-5.2395177,25.584133,pharm-herbal,C0 -> C3
7.3599377,8.166969,pharm-herbal,C1 -> C1 -> C0 -> C0 -> C1
