trajectory,global_count
C0 -> C0,147
C0 -> C0 -> C0,111
C0 -> C0 -> C0 -> C0,63
C0 -> C0 -> C2,50
C0 -> C1,49
C1 -> C1 -> C1,49
C1 -> C1,48
C0 -> C2,46
C1 -> C1 -> C1 -> C1,42
C1 -> C1 -> C1 -> C1 -> C1,34
C0 -> C0 -> C0 -> C0 -> C0,33
C1 -> C0,32
C2 -> C0,31
C2 -> C2,29
C0 -> C0 -> C1,22
C0 -> C2 -> C0,22
C0 -> C2 -> C2,21
C0 -> C3,20
C2 -> C1,20
C1 -> C2,20
C1 -> C1 -> C2,19
C1 -> C1 -> C0,19
C0 -> C1 -> C0,18
C1 -> C0 -> C0,18
C0 -> C0 -> C0 -> C2,18
C3 -> C0,18
C3 -> C2,17
C1 -> C2 -> C1,17
C1 -> C1 -> C1 -> C1 -> C1 -> C1,17
C1 -> C3,16
C0 -> C1 -> C1,15
C1 -> C0 -> C1 -> C1,14
C1 -> C0 -> C2,13
C1 -> C2 -> C2,13
C1 -> C1 -> C1 -> C2,13
C0 -> C0 -> C1 -> C0,13
C1 -> C0 -> C0 -> C0,12
C1 -> C1 -> C1 -> C1 -> C2,12
C3 -> C1,12
C2 -> C2 -> C2,12
C2 -> C0 -> C0,12
C0 -> C0 -> C0 -> C0 -> C2,12
C2 -> C0 -> C2,11
C2 -> C1 -> C1,11
C0 -> C0 -> C2 -> C2,11
C1 -> C0 -> C1,11
C0 -> C0 -> C0 -> C0 -> C0 -> C0,11
C0 -> C3 -> C0,10
C0 -> C1 -> C0 -> C0,10
C0 -> C1 -> C2,10
C2 -> C1 -> C2,9
C3 -> C3,9
C1 -> C1 -> C2 -> C2,9
C0 -> C0 -> C2 -> C0,9
C2 -> C0 -> C0 -> C0,9
C2 -> C2 -> C0,9
C1 -> C2 -> C0,9
C2 -> C3,8
C0 -> C0 -> C3,8
C1 -> C0 -> C3,8
C0 -> C4,8
C2 -> C2 -> C2 -> C2,8
C3 -> C1 -> C3,8
C3 -> C0 -> C1,7
C1 -> C1 -> C2 -> C1,7
C0 -> C0 -> C0 -> C2 -> C2,7
C1 -> C1 -> C3,7
C3 -> C1 -> C1 -> C1,7
C1 -> C2 -> C1 -> C1,7
C0 -> C2 -> C2 -> C2,7
C0 -> C0 -> C4,7
C3 -> C0 -> C2,6
C4 -> C0,6
C4 -> C2,6
C1 -> C2 -> C2 -> C2,6
C0 -> C0 -> C0 -> C1,6
C1 -> C2 -> C1 -> C1 -> C1,6
C1 -> C2 -> C1 -> C2,6
C1 -> C1 -> C0 -> C1,6
C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1,6
C0 -> C2 -> C1,6
C0 -> C4 -> C0,6
C1 -> C1 -> C1 -> C0,6
C1 -> C1 -> C1 -> C2 -> C2,6
C0 -> C0 -> C1 -> C0 -> C0,6
C0 -> C4 -> C0 -> C0,6
C0 -> C0 -> C0 -> C3,6
C1 -> C1 -> C1 -> C3,6
C4 -> C1 -> C1 -> C1,5
C4 -> C1,5
C3 -> C0 -> C0,5
C0 -> C0 -> C0 -> C1 -> C0,5
C3 -> C1 -> C1 -> C2,5
C3 -> C1 -> C1,5
C1 -> C1 -> C3 -> C1 -> C2,5
C1 -> C3 -> C1 -> C2,5
C2 -> C1 -> C1 -> C1 -> C1,5
C2 -> C0 -> C0 -> C2,5
C1 -> C1 -> C0 -> C0 -> C1,5
C1 -> C1 -> C1 -> C1 -> C1 -> C2,5
C1 -> C1 -> C2 -> C1 -> C2,5
C0 -> C0 -> C1 -> C1,5
C0 -> C1 -> C1 -> C1,5
C0 -> C1 -> C2 -> C2 -> C2,5
C0 -> C2 -> C2 -> C0,5
C0 -> C2 -> C3,5
C0 -> C3 -> C0 -> C0,5
C0 -> C3 -> C1,5
C0 -> C1 -> C0 -> C1,5
C0 -> C0 -> C2 -> C0 -> C2,5
