folio,section,locus,length,trajectory,cell_path,token_path
f100r,pharm-herbal,"12,@P0",3,C0 -> C0 -> C1,sh|eo|other -> sh|o|other -> sh|e|e_grade,sheod shodol sheey
f100r,pharm-herbal,"13,+P0",3,C0 -> C1 -> C3,sh|eo|o_grade -> qok|e|e_grade -> ot|e|e_grade,dsheor qokeey oteey
f100r,pharm-herbal,"14,+P0",7,C0 -> C2 -> C1 -> C0 -> C1 -> C0 -> C2,sh|o|o_grade -> ch|bare|other -> qot|e|e_grade -> qok|eo|aspect -> qot|eo|other -> qok|eo|o_grade -> ot|bare|clitic,shor chkeey qoteey qokeody qoteold qokeol otal
f100r,pharm-herbal,"15,+P0",6,C0 -> C0 -> C1 -> C0 -> C0 -> C1,ch|eo|o_grade -> sh|o|o_grade -> qok|e|other -> ch|o|o_grade -> ch|o|o_grade -> qok|e|aspect,dcheor shol qokeeol chor chol qokeeody
f100r,pharm-herbal,"22,@P0",3,C0 -> C1 -> C1,ch|o|other -> qot|e|other -> sh|e|e_grade,choldaiin qotees shey
f100r,pharm-herbal,"23,+P0",6,C0 -> C0 -> C0 -> C0 -> C0 -> C0,ch|o|o_grade -> sh|o|o_grade -> sh|o|o_grade -> ch|o|o_grade -> ch|o|o_grade -> sh|o|e_grade,chol shol shol chor chol sho
f100r,pharm-herbal,"24,+P0",4,C0 -> C1 -> C0 -> C0,sh|eo|o_grade -> sh|e|e_grade -> ch|o|other -> ch|eo|o_grade,sheor sheey cholsheody cheol
f100r,pharm-herbal,"25,+P0",6,C0 -> C0 -> C3 -> C0 -> C0 -> C0,sh|eo|o_grade -> ch|o|o_grade -> ch|e|other -> ch|eo|o_grade -> ch|eo|other -> ok|eo|o_grade,sheor chol cheky cheol cheockhy okeol
f100r,pharm-herbal,"26,+P0",7,C3 -> C0 -> C0 -> C0 -> C0 -> C3 -> C0,ch|e|other -> ch|o|o_grade -> ch|o|other -> ch|o|other -> qok|eo|o_grade -> ok|e|other -> ch|eo|other,chekeey chol cholody chos qokeol okeeol cheols
f100r,pharm-herbal,"27,+P0",5,C0 -> C0 -> C0 -> C2 -> C2,ch|o|o_grade -> ch|eo|o_grade -> ch|o|e_grade -> ch|bare|other -> ot|o|other,chol cheol cho chckheody otolchey
