from_cell,to_cell,count
sh|eo|other,sh|o|other,5
sh|o|other,sh|e|e_grade,6
sh|eo|o_grade,qok|e|e_grade,5
qok|e|e_grade,ot|e|e_grade,9
sh|o|o_grade,ch|bare|other,17
ch|bare|other,qot|e|e_grade,4
qot|e|e_grade,qok|eo|aspect,1
qok|eo|aspect,qot|eo|other,1
qot|eo|other,qok|eo|o_grade,1
qok|eo|o_grade,ot|bare|clitic,1
ch|eo|o_grade,sh|o|o_grade,2
sh|o|o_grade,qok|e|other,1
qok|e|other,ch|o|o_grade,3
ch|o|o_grade,ch|o|o_grade,98
ch|o|o_grade,qok|e|aspect,2
ch|o|other,qot|e|other,2
qot|e|other,sh|e|e_grade,1
ch|o|o_grade,sh|o|o_grade,24
sh|o|o_grade,sh|o|o_grade,26
sh|o|o_grade,ch|o|o_grade,21
ch|o|o_grade,sh|o|e_grade,12
sh|eo|o_grade,sh|e|e_grade,8
sh|e|e_grade,ch|o|other,14
ch|o|other,ch|eo|o_grade,13
sh|eo|o_grade,ch|o|o_grade,4
ch|o|o_grade,ch|e|other,26
ch|e|other,ch|eo|o_grade,8
ch|eo|o_grade,ch|eo|other,13
ch|eo|other,ok|eo|o_grade,1
ch|e|other,ch|o|o_grade,17
ch|o|o_grade,ch|o|other,78
ch|o|other,ch|o|other,87
ch|o|other,qok|eo|o_grade,4
qok|eo|o_grade,ok|e|other,3
ok|e|other,ch|eo|other,2
ch|o|o_grade,ch|eo|o_grade,14
ch|eo|o_grade,ch|o|e_grade,5
ch|o|e_grade,ch|bare|other,10
ch|bare|other,ot|o|other,5
sh|eo|other,qot|eo|aspect,1
qot|eo|aspect,ch|o|o_grade,1
ch|o|o_grade,ot|e|e_grade,3
ot|e|e_grade,qok|o|other,1
ch|e|e_grade,ch|eo|o_grade,9
ch|eo|o_grade,ch|o|o_grade,17
ch|o|o_grade,ch|e|e_grade,31
ch|e|e_grade,qok|eo|o_grade,5
qok|eo|o_grade,ch|o|other,5
ch|e|e_grade,sh|e|other,14
sh|e|other,ok|eo|o_grade,2
ok|eo|o_grade,ch|e|other,2
ch|e|other,ok|eo|o_grade,3
ok|eo|o_grade,ok|eo|o_grade,3
ch|o|other,sh|o|other,20
sh|o|other,qok|eo|o_grade,1
qok|eo|o_grade,ok|o|o_grade,2
ok|o|o_grade,ch|o|o_grade,8
ch|o|other,ch|bare|other,44
ch|eo|e_grade,ch|e|other,10
ch|e|other,sh|bare|e_grade,5
sh|bare|e_grade,ch|o|other,6
ch|eo|other,ch|o|other,16
sh|o|other,qok|e|e_grade,6
qok|e|e_grade,ch|o|other,7
ch|eo|o_grade,ch|o|other,19
ok|o|o_grade,ch|o|e_grade,1
ch|o|e_grade,ok|bare|clitic,2
ok|bare|clitic,ch|e|other,10
ch|e|other,ch|eo|other,9
ch|e|other,ch|o|other,33
sh|e|e_grade,sh|o|o_grade,3
sh|o|o_grade,sh|eo|other,4
sh|eo|other,ch|e|clitic,2
ch|e|clitic,ch|o|other,4
ch|o|other,ch|e|other,27
ch|e|other,ch|e|e_grade,35
ch|e|e_grade,ch|e|other,24
sh|o|e_grade,ch|e|other,5
ch|o|o_grade,ch|bare|other,54
ch|bare|other,sh|bare|other,10
sh|bare|other,ok|eo|other,1
ch|bare|other,ok|bare|other,9
ok|bare|other,ok|o|o_grade,1
ok|o|o_grade,qok|bare|e_grade,1
qok|bare|e_grade,ch|bare|clitic,2
ch|bare|clitic,ok|e|e_grade,2
ok|e|e_grade,qok|eo|o_grade,3
qok|eo|o_grade,sh|e|e_grade,1
sh|e|e_grade,ch|o|o_grade,16
ok|eo|o_grade,sh|eo|o_grade,2
sh|eo|o_grade,qok|o|o_grade,4
qok|o|o_grade,sh|e|e_grade,3
sh|e|e_grade,sh|e|e_grade,29
sh|e|e_grade,ok|e|e_grade,5
ok|e|e_grade,ch|o|o_grade,4
ch|o|o_grade,sh|eo|aspect,2
sh|eo|aspect,sh|eo|o_grade,1
sh|eo|o_grade,qot|o|other,1
qot|o|other,ot|o|o_grade,1
ot|o|o_grade,sh|e|e_grade,4
sh|e|e_grade,sh|eo|e_grade,3
sh|eo|e_grade,ch|e|e_grade,4
sh|e|other,sh|e|other,19
ok|eo|o_grade,sh|bare|e_grade,2
sh|bare|e_grade,ch|o|o_grade,14
ch|o|o_grade,ok|e|other,6
ok|e|other,ch|bare|other,10
ch|bare|other,ok|eo|o_grade,3
ok|eo|o_grade,ok|e|e_grade,3
ok|e|e_grade,ok|e|e_grade,12
ch|eo|o_grade,ok|o|o_grade,2
ok|o|o_grade,ch|eo|o_grade,6
ch|o|e_grade,ok|o|o_grade,1
ok|o|o_grade,ok|eo|o_grade,1
ok|eo|o_grade,ch|o|o_grade,7
ch|o|o_grade,ch|bare|e_grade,36
ch|bare|e_grade,ot|eo|o_grade,2
ot|eo|o_grade,ch|e|e_grade,2
ch|e|e_grade,ot|e|other,5
ot|e|other,sh|eo|o_grade,3
sh|eo|o_grade,ok|eo|o_grade,2
ok|eo|o_grade,ch|o|other,3
ch|o|other,sh|e|clitic,2
ok|e|other,sh|o|e_grade,1
sh|o|e_grade,sh|o|aspect,1
sh|o|aspect,sh|o|e_grade,1
sh|o|e_grade,sh|o|o_grade,7
sh|o|o_grade,ok|e|other,3
ok|e|other,ch|e|other,11
ch|e|other,sh|eo|other,4
sh|eo|other,sh|e|other,4
sh|e|other,ch|bare|e_grade,5
ch|bare|e_grade,ch|o|other,28
ot|bare|paradigm,ot|bare|paradigm,16
ot|bare|paradigm,sh|o|other,2
sh|o|other,sh|eo|o_grade,1
sh|eo|o_grade,sh|eo|o_grade,3
sh|eo|o_grade,ch|e|e_grade,6
ch|e|e_grade,ch|o|other,28
ot|eo|o_grade,ch|o|o_grade,3
ot|e|e_grade,ch|o|other,8
sh|o|other,ch|o|o_grade,16
ch|o|o_grade,qok|bare|e_grade,2
qok|bare|e_grade,ok|e|e_grade,1
ok|e|e_grade,sh|e|e_grade,7
sh|e|e_grade,ok|o|o_grade,2
ok|eo|o_grade,ch|eo|o_grade,2
ch|eo|o_grade,ot|e|other,2
ot|e|other,ch|bare|o_grade,1
ch|bare|o_grade,ch|eo|o_grade,1
ch|eo|o_grade,ok|eo|o_grade,1
ok|eo|o_grade,sh|e|e_grade,3
qok|eo|o_grade,ch|o|o_grade,4
ch|o|o_grade,ch|eo|e_grade,3
ch|eo|other,sh|e|other,6
sh|e|other,sh|e|e_grade,11
sh|e|e_grade,ch|o|e_grade,2
ch|o|e_grade,ch|o|o_grade,13
ch|o|o_grade,ok|o|o_grade,5
ok|o|o_grade,ch|e|other,4
ch|e|other,sh|e|other,23
sh|e|other,qok|o|o_grade,3
qok|o|o_grade,ch|e|e_grade,3
ch|e|e_grade,ch|o|e_grade,2
ch|o|e_grade,ok|o|aspect,1
ch|eo|other,ch|e|other,12
ot|bare|clitic,ok|eo|other,3
ok|eo|other,sh|eo|aspect,1
sh|eo|aspect,sh|o|other,2
ok|e|e_grade,qok|bare|e_grade,2
qok|bare|e_grade,qok|eo|o_grade,1
qok|eo|o_grade,qok|e|other,1
qok|e|other,ch|eo|o_grade,2
ch|eo|o_grade,ok|e|e_grade,6
ok|e|e_grade,ch|o|other,5
sh|eo|o_grade,qok|eo|o_grade,2
ch|o|other,ch|o|o_grade,47
ch|o|o_grade,ch|e|aspect,13
ch|e|aspect,ch|e|e_grade,15
ch|eo|o_grade,ch|e|aspect,11
ch|e|e_grade,ch|e|e_grade,37
ch|e|e_grade,ok|e|e_grade,12
ok|e|e_grade,ch|eo|aspect,4
ch|eo|aspect,ch|eo|o_grade,2
ok|eo|o_grade,ch|eo|e_grade,2
ch|e|other,sh|e|e_grade,18
sh|e|e_grade,qok|eo|aspect,2
qok|eo|aspect,ch|eo|o_grade,3
ch|eo|o_grade,ok|eo|e_grade,2
ok|eo|e_grade,ch|e|e_grade,3
ch|e|e_grade,qok|e|e_grade,36
qok|e|e_grade,sh|o|o_grade,2
sh|o|o_grade,ch|eo|o_grade,3
ch|eo|o_grade,sh|e|e_grade,8
sh|e|e_grade,qok|bare|clitic,16
ch|o|other,ok|e|e_grade,6
ok|e|e_grade,sh|bare|other,3
sh|bare|other,ch|o|o_grade,3
ch|bare|other,qok|e|aspect,16
qok|e|aspect,ch|eo|o_grade,4
ch|eo|o_grade,qok|e|e_grade,5
qok|e|e_grade,ch|eo|other,4
ch|eo|o_grade,ch|eo|o_grade,11
ch|eo|e_grade,sh|e|e_grade,3
sh|e|e_grade,ok|eo|aspect,3
ok|eo|aspect,qok|eo|other,1
qok|eo|other,sh|o|other,1
qok|e|e_grade,sh|e|e_grade,7
sh|e|e_grade,qok|eo|o_grade,3
qok|eo|e_grade,sh|e|e_grade,1
sh|e|e_grade,qot|eo|o_grade,1
qot|eo|o_grade,ok|o|o_grade,1
ok|o|o_grade,ch|o|other,4
ch|o|o_grade,sh|e|e_grade,8
ch|o|other,ok|eo|o_grade,2
sh|o|other,qot|eo|o_grade,1
qot|eo|o_grade,ot|e|other,1
ot|e|other,sh|o|other,2
sh|eo|aspect,ok|e|other,1
ch|bare|other,ch|eo|other,11
ch|o|o_grade,qok|o|o_grade,5
ch|o|other,ot|eo|o_grade,2
ot|eo|o_grade,qot|eo|o_grade,1
qok|eo|other,sh|bare|aspect,1
sh|o|other,ch|eo|o_grade,5
ok|o|o_grade,ok|e|e_grade,4
ok|e|e_grade,qok|e|e_grade,12
qok|e|e_grade,sh|eo|aspect,2
sh|eo|aspect,ok|e|e_grade,2
ch|eo|aspect,ok|e|other,1
qok|e|e_grade,ch|bare|e_grade,2
ok|e|e_grade,qok|e|other,5
qok|e|other,qok|e|e_grade,8
qok|e|e_grade,ch|bare|other,22
ch|bare|other,ch|o|other,33
sh|e|e_grade,qok|o|o_grade,6
qok|o|o_grade,ok|bare|e_grade,4
ok|bare|e_grade,ok|bare|e_grade,1
qok|eo|other,ok|e|clitic,1
ok|e|clitic,ok|eo|e_grade,1
ok|eo|e_grade,ch|eo|e_grade,1
ch|eo|e_grade,qok|e|e_grade,1
qok|e|e_grade,ch|o|aspect,1
ch|eo|other,ch|eo|aspect,6
ok|o|o_grade,ch|eo|other,1
ch|e|e_grade,ch|o|o_grade,21
ok|o|aspect,qok|eo|aspect,1
qok|eo|aspect,ok|eo|o_grade,1
ok|eo|o_grade,ch|bare|other,1
ch|bare|other,ot|eo|other,3
sh|eo|e_grade,sh|e|e_grade,2
ok|eo|aspect,qok|eo|o_grade,1
qok|eo|o_grade,sh|eo|e_grade,1
ch|o|other,sh|e|e_grade,7
sh|e|e_grade,qok|e|e_grade,23
qok|o|o_grade,ch|eo|o_grade,7
ch|eo|o_grade,ch|e|e_grade,13
ch|e|e_grade,ch|eo|aspect,2
ch|eo|o_grade,sh|e|other,5
sh|e|other,ch|eo|o_grade,6
ch|eo|o_grade,qok|bare|clitic,3
qok|bare|clitic,ch|e|e_grade,15
ch|eo|o_grade,ot|eo|o_grade,1
sh|eo|o_grade,ok|e|other,1
qok|e|e_grade,qok|eo|aspect,3
qok|eo|aspect,sh|eo|aspect,1
ok|eo|aspect,ok|o|aspect,1
ok|o|aspect,ch|eo|other,1
ch|o|other,qok|eo|other,2
qok|eo|other,ch|eo|o_grade,1
ch|eo|o_grade,ch|bare|other,11
ch|bare|other,ot|eo|aspect,3
ot|eo|aspect,ch|bare|e_grade,2
sh|eo|aspect,sh|o|e_grade,2
sh|o|e_grade,qok|e|e_grade,1
sh|eo|aspect,ch|o|aspect,2
sh|e|e_grade,sh|o|other,8
sh|o|other,sh|eo|other,3
sh|eo|other,qok|eo|aspect,1
qok|eo|o_grade,ch|eo|o_grade,2
qok|eo|o_grade,sh|e|other,2
sh|e|other,ch|eo|e_grade,1
ch|eo|e_grade,qot|eo|o_grade,1
sh|eo|o_grade,qot|e|other,1
qot|e|other,ch|bare|e_grade,2
ch|bare|e_grade,sh|bare|other,5
sh|bare|other,ch|e|other,11
ch|eo|other,ok|e|other,4
qok|eo|o_grade,ch|o|e_grade,1
ch|o|e_grade,ok|e|aspect,1
ok|e|aspect,qok|eo|aspect,2
qok|eo|aspect,ch|o|other,2
ch|o|other,qok|e|e_grade,4
qok|e|e_grade,sh|e|other,7
ok|e|other,ch|eo|o_grade,2
ch|eo|o_grade,ok|e|clitic,1
ok|e|clitic,ch|e|e_grade,1
ch|e|e_grade,ot|eo|e_grade,2
ok|eo|aspect,ok|eo|o_grade,1
ot|e|e_grade,qok|eo|other,1
qok|eo|other,sh|e|e_grade,2
sh|e|aspect,sh|e|other,12
sh|e|other,ch|e|other,16
ch|eo|o_grade,sh|o|clitic,1
sh|o|clitic,ok|eo|o_grade,1
ok|eo|o_grade,sh|o|e_grade,1
sh|o|e_grade,ok|bare|e_grade,2
ok|bare|e_grade,ch|e|other,3
qok|eo|o_grade,sh|o|e_grade,1
sh|o|e_grade,ch|eo|o_grade,5
ch|o|other,ok|bare|other,7
ok|e|other,sh|eo|other,2
sh|eo|other,qok|eo|other,1
qok|eo|other,ch|o|o_grade,1
ch|o|o_grade,ok|e|e_grade,3
sh|eo|o_grade,sh|e|other,2
sh|e|other,qok|bare|e_grade,3
qok|bare|e_grade,ch|eo|e_grade,1
ch|eo|e_grade,qok|eo|o_grade,1
ok|e|other,ch|e|e_grade,9
