folio,section,n,C3suf_pct,C3pre_pct,C4pre_pct,chedy_k,chor_k,qok_k,aiin_k
f75r,balneo,384,27.34,49.22,16.15,132.8,0.0,226.6,10.4
f75v,balneo,327,21.71,42.51,23.24,91.7,0.0,180.4,21.4
f76r,balneo,521,22.65,51.44,18.23,151.6,11.5,120.9,55.7
f76v,balneo,371,37.47,47.44,18.06,145.6,5.4,110.5,91.6
f77r,balneo,305,33.11,64.59,6.89,127.9,3.3,190.2,150.8
f77v,balneo,311,32.15,54.66,9.65,183.3,6.4,221.9,83.6
f78r,balneo,262,35.88,37.40,18.70,122.1,3.8,187.0,72.5
f78v,balneo,267,31.46,37.45,29.59,153.6,3.7,119.9,33.7
f79r,balneo,342,14.33,48.25,25.15,93.6,23.4,122.8,49.7
f79v,balneo,319,24.45,40.13,28.84,69.0,3.1,206.9,40.8
f80r,balneo,415,10.60,51.57,22.89,74.7,4.8,190.4,48.2
f80v,balneo,335,16.12,47.46,22.39,113.4,0.0,161.2,65.7
f81r,balneo,192,29.69,41.15,32.29,156.2,20.8,104.2,31.2
f81v,balneo,238,25.21,37.39,22.27,121.8,4.2,100.8,75.6
f82r,balneo,271,27.68,53.51,9.23,129.2,0.0,214.0,114.4
f82v,balneo,291,24.40,54.98,19.24,137.5,10.3,223.4,58.4
f83r,balneo,322,32.30,54.66,9.63,180.1,0.0,164.6,87.0
f83v,balneo,243,25.10,67.08,15.23,135.8,0.0,218.1,86.4
f84r,balneo,305,36.72,43.28,22.62,147.5,6.6,154.1,49.2
f84v,balneo,313,32.91,38.34,30.03,121.4,3.2,156.5,57.5
f57r,cosmo,77,12.99,48.05,11.69,51.9,0.0,64.9,64.9
f57v,cosmo,183,0.00,3.83,10.38,0.0,5.5,5.5,32.8
f58r,cosmo,342,0.29,36.55,19.30,2.9,61.4,49.7,76.0
f58v,cosmo,337,1.19,38.87,21.07,11.9,23.7,157.3,100.9
f65v,cosmo,39,10.26,48.72,7.69,102.6,0.0,51.3,25.6
f66r,cosmo,315,13.33,43.49,11.11,82.5,3.2,95.2,60.3
f66v,cosmo,106,6.60,44.34,13.21,9.4,9.4,47.2,75.5
f67r1,cosmo/zodiac,155,2.58,20.65,20.65,6.5,6.5,0.0,90.3
f67r2,cosmo/zodiac,168,0.00,14.88,14.29,0.0,11.9,17.9,119.0
f67v1,cosmo/zodiac,73,0.00,19.18,21.92,0.0,0.0,41.1,54.8
f67v2,cosmo/zodiac,57,0.00,5.26,29.82,0.0,0.0,17.5,70.2
f68r1,cosmo/zodiac,62,4.84,25.81,40.32,32.3,16.1,16.1,16.1
f68r2,cosmo/zodiac,76,0.00,34.21,32.89,0.0,118.4,39.5,26.3
f68r3,cosmo/zodiac,93,5.38,27.96,30.11,32.3,32.3,75.3,53.8
f68v1,cosmo/zodiac,97,1.03,30.93,25.77,0.0,10.3,0.0,41.2
f68v2,cosmo/zodiac,97,2.06,35.05,18.56,0.0,10.3,30.9,41.2
f68v3,cosmo/zodiac,158,1.27,33.54,26.58,12.7,38.0,25.3,44.3
f69r,cosmo/zodiac,115,0.87,29.57,22.61,0.0,26.1,17.4,69.6
f69v,cosmo/zodiac,90,1.11,31.11,26.67,0.0,55.6,0.0,22.2
