core,standalone_count,derived_total,n_distinct_clitics,cl_d,cl_s,cl_t,cl_k,cl_l,cl_y,cl_q,cl_qo,cl_qok,cl_qot,cl_ok,cl_ot,cl_ol,cl_or,cl_sh,cl_ch,cl_cth,cl_p,cl_r,cl_o
aiin,507,2119,19,848,127,45,79,14,5,0,23,265,79,216,155,52,34,20,48,12,7,64,26
ol,563,1452,18,109,67,45,38,38,0,142,4,98,44,78,82,18,12,186,396,56,19,20,0
ar,408,1234,18,323,81,42,60,8,0,0,8,159,64,140,153,17,8,34,84,17,6,16,14
eey,10,1142,14,8,0,21,56,0,0,3,16,307,42,185,145,3,0,149,185,15,0,0,7
al,263,1016,17,242,49,26,27,7,0,0,5,197,59,156,137,6,11,17,48,8,0,18,3
ain,114,1010,17,214,65,9,43,5,0,0,6,279,60,141,96,12,15,9,19,4,0,22,11
ey,19,971,9,0,0,14,15,0,0,0,0,109,24,65,60,0,0,279,354,51,0,0,0
eedy,6,854,11,5,0,15,62,0,0,0,19,307,77,111,106,0,0,84,60,0,0,0,8
or,392,789,20,68,51,22,26,40,3,21,10,33,26,35,40,30,8,96,211,43,8,15,3
keey,56,642,7,0,0,0,0,39,57,0,307,0,0,0,0,38,0,3,13,0,0,0,185
kaiin,79,632,8,0,3,0,0,48,46,0,265,0,0,0,0,31,0,5,18,0,0,0,216
keedy,62,535,6,0,0,0,0,37,32,0,307,0,0,0,0,45,0,0,3,0,0,0,111
kain,43,512,6,0,0,0,0,34,12,0,279,0,0,0,0,34,0,0,12,0,0,0,141
eol,4,494,10,0,0,16,21,0,0,0,5,50,12,64,37,0,0,109,170,10,0,0,0
kedy,47,474,6,0,0,0,0,27,20,0,276,0,0,0,0,26,0,0,5,0,0,0,120
chedy,507,438,14,28,7,34,22,116,11,0,0,40,25,25,35,39,0,0,0,0,36,10,10
kar,60,398,6,0,0,0,0,31,36,0,159,0,0,0,0,21,0,0,11,0,0,0,140
kal,27,394,6,0,0,0,0,5,11,0,197,0,0,0,0,13,0,0,12,0,0,0,156
ky,32,340,7,0,0,0,0,19,16,0,146,0,0,0,0,23,0,13,17,0,0,0,106
dy,277,334,9,0,0,0,0,25,7,0,19,4,0,0,0,30,0,45,147,7,0,0,50
chy,190,332,13,29,0,28,36,9,4,0,0,67,62,31,45,10,0,0,3,0,0,3,5
chey,354,304,17,17,6,22,22,49,17,0,6,27,18,32,33,25,4,3,0,0,7,8,8
tedy,40,290,5,0,0,0,0,5,25,0,89,0,0,0,0,6,0,0,0,0,0,0,165
am,86,288,14,88,12,6,8,5,0,0,0,25,12,33,48,5,11,6,17,0,0,12,0
ody,50,277,14,8,4,10,7,3,0,19,0,8,11,17,26,0,0,53,92,16,0,3,0
taiin,45,276,4,0,0,0,0,0,39,0,79,0,0,0,0,0,0,0,3,0,0,0,155
air,84,253,13,111,29,12,12,0,0,0,3,21,5,20,26,0,3,0,0,0,4,4,3
ty,20,246,5,0,0,0,0,0,23,0,88,0,0,0,0,0,0,4,13,0,0,0,118
tar,42,244,4,0,0,0,0,0,24,0,64,0,0,0,0,0,0,0,3,0,0,0,153
ckhy,37,228,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,60,138,0,0,0,12
teey,21,221,4,0,0,0,0,0,31,0,42,0,0,0,0,0,0,0,3,0,0,0,145
teedy,15,221,5,0,0,0,0,6,29,0,77,0,0,0,0,3,0,0,0,0,0,0,106
chdy,147,220,11,9,4,14,20,18,0,0,0,51,23,28,33,10,0,0,0,0,10,0,0
tal,26,220,5,0,0,0,0,3,15,0,59,0,0,0,0,0,0,0,6,0,0,0,137
key,15,211,6,0,0,0,0,7,9,0,109,0,0,0,0,13,0,0,8,0,0,0,65
